sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.4805;2.2065;9.4144;-100.62;-35.87;15.06;110.15;-13.17;-2.92;87.8;100.0;4.239;26;2014-01-30 21:39:22:368
0.5786;2.1771;11.1404;-97.5;-34.0;14.25;109.77;-11.04;-2.97;87.8;100.0;4.239;256;2014-01-30 21:39:22:598
0.3432;1.9319;8.8554;-95.19;-34.06;14.63;110.78;-12.63;-0.88;87.8;100.0;4.239;456;2014-01-30 21:39:22:798
0.4707;2.1967;11.3365;-92.87;-35.56;16.69;112.01;-10.41;-2.19;87.8;100.0;4.239;659;2014-01-30 21:39:23:001
0.7453;2.1967;10.0812;-91.0;-37.56;18.88;113.32;-12.26;-4.23;87.8;100.0;4.239;859;2014-01-30 21:39:23:201
0.2844;2.1967;9.0417;-89.19;-38.87;20.69;115.21;-13.65;-1.8;87.8;100.0;4.239;1059;2014-01-30 21:39:23:401
0.2942;3.2166;10.1989;-86.5;-38.56;22.5;116.59;-17.5;-1.65;87.8;100.0;4.239;1260;2014-01-30 21:39:23:602
0.5099;2.1967;9.4928;-84.44;-38.69;22.5;116.53;-15.79;-3.17;87.8;100.0;4.239;1460;2014-01-30 21:39:23:802
0.4413;2.2359;9.0417;-82.25;-40.12;22.63;117.91;-13.63;-1.58;87.8;100.0;4.239;1661;2014-01-30 21:39:24:003
0.7453;2.5497;11.0815;-79.5;-41.56;23.13;119.47;-13.46;-2.95;87.8;100.0;4.239;1861;2014-01-30 21:39:24:203
0.9022;2.4909;9.1006;-77.37;-42.75;22.88;120.24;-14.23;-4.57;87.8;100.0;4.239;2064;2014-01-30 21:39:24:406
0.1961;1.9613;9.2084;-74.37;-42.31;23.25;121.45;-12.02;-1.22;87.8;100.0;4.239;2264;2014-01-30 21:39:24:606
0.0686;2.6772;9.1986;-72.06;-40.87;23.5;122.47;-16.23;-0.43;87.8;100.0;4.239;2464;2014-01-30 21:39:24:806
1.2553;2.4909;10.905;-69.62;-40.12;23.5;121.94;-13.65;-1.66;87.8;100.0;4.239;2664;2014-01-30 21:39:25:006
0.2746;2.1182;9.5321;-66.37;-40.75;24.0;124.01;-12.65;-1.39;87.8;100.0;4.239;2875;2014-01-30 21:39:25:217
0.5688;2.3732;8.7083;-64.06;-42.0;24.81;125.07;-15.21;-3.74;87.8;100.0;4.239;3075;2014-01-30 21:39:25:417
0.4511;2.2163;11.7288;-61.37;-42.75;25.38;127.0;-12.94;-2.8;87.8;100.0;4.239;3276;2014-01-30 21:39:25:618
0.2256;1.7848;8.7868;-59.0;-42.19;25.19;127.54;-11.0;-1.25;87.8;100.0;4.239;3480;2014-01-30 21:39:25:822
0.2256;1.9711;8.7868;-57.19;-40.56;24.81;128.08;-12.64;-1.47;87.8;100.0;4.239;3681;2014-01-30 21:39:26:023
0.5492;1.8437;10.4637;-55.62;-39.06;23.94;127.42;-14.16;-1.53;87.8;100.0;4.239;3882;2014-01-30 21:39:26:224
0.7257;2.0202;9.2575;-53.81;-37.87;23.44;126.5;-11.49;-4.03;87.8;100.0;4.239;4082;2014-01-30 21:39:26:424
