ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2452,2.5105,9.9636,29.5,-61.62,-12,206.29,-6.69,1.45,86,70,3.978,13,2014-01-31 14:20:42:603
0.1373,2.942,9.8459,29,-60.06,-9.69,207.39,-12.15,-2.89,86,70,3.978,216,2014-01-31 14:20:42:806
-0.353,1.6279,11.6111,27.63,-59.5,-6.06,205.81,-7.98,1.74,86,70,3.978,417,2014-01-31 14:20:43:007
-0.5099,2.1673,7.4923,26.75,-61.25,-2.25,204.97,-16.1,3.89,86,70,3.978,618,2014-01-31 14:20:43:208
-0.1961,2.2163,10.905,26.56,-62.5,0.44,204.13,-12.75,2.35,86,70,3.978,818,2014-01-31 14:20:43:408
-0.6178,2.2163,9.8067,26.19,-63.12,3.69,202.73,-11.48,1.96,86,70,3.978,1018,2014-01-31 14:20:43:608
-0.7453,2.9812,9.0025,26,-63.44,4.38,202.73,-11.48,1.96,86,70,3.978,1218,2014-01-31 14:20:43:808
-0.0588,1.6181,10.905,25,-63.62,5.38,202.63,-18.26,4.73,86,70,3.978,1424,2014-01-31 14:20:44:014
-0.5099,2.3144,8.5514,24.44,-64.19,6.19,201.31,-8.44,0.31,86,70,3.978,1635,2014-01-31 14:20:44:225
-0.2354,2.2948,12.5525,23.44,-66.06,5.5,200.15,-11.6,1.23,86,70,3.978,1854,2014-01-31 14:20:44:444
0.0588,2.4222,8.9044,23.63,-67,5.13,200.15,-13.28,-0.06,86,70,3.978,2060,2014-01-31 14:20:44:650
0.4413,2.4713,9.2183,23.75,-67.56,4.19,200.21,-18.69,-0.37,86,70,3.978,2261,2014-01-31 14:20:44:851
0.8238,2.3732,9.7674,22.81,-69.62,3.06,198.37,-14.58,-4.12,86,70,3.978,2467,2014-01-31 14:20:45:057
-0.3923,2.4419,9.1006,22.56,-70.19,2.44,198.77,-15.01,2.47,86,70,3.978,2676,2014-01-31 14:20:45:266
-0.2354,2.7262,11.2973,22.25,-69.44,1.44,198.14,-13.56,1.19,86,70,3.978,2876,2014-01-31 14:20:45:466
-0.1471,2.7262,9.6497,22.69,-67.37,0.94,199.59,-15.77,0.87,86,70,3.978,3084,2014-01-31 14:20:45:674
0.0392,2.7066,8.9044,23.81,-65.25,0.25,201.09,-16.91,-0.25,86,70,3.978,3292,2014-01-31 14:20:45:882
0.0883,2.4615,11.9249,23.81,-64.5,-0.31,201.01,-12.7,-0.42,86,70,3.978,3500,2014-01-31 14:20:46:090
-0.2452,2.5105,9.9636,29.5,-61.62,-12,206.29,-6.69,1.45,86,70,3.978,13,2014-01-31 14:20:42:603
0.1373,2.942,9.8459,29,-60.06,-9.69,207.39,-12.15,-2.89,86,70,3.978,216,2014-01-31 14:20:42:806
-0.353,1.6279,11.6111,27.63,-59.5,-6.06,205.81,-7.98,1.74,86,70,3.978,417,2014-01-31 14:20:43:007
