ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.1376,2.432,11.8072,-32.94,25.31,20.81,56.11,-9.78,6.34,86,90,4.191,25,2014-02-01 22:21:48:107
-0.6669,1.8044,11.3463,-32.37,23.13,20.5,54.51,-5.37,6.85,86,90,4.191,226,2014-02-01 22:21:48:308
-0.7159,2.0986,8.7475,-31.37,21.44,19.19,62.65,-14.51,4.72,86,90,4.191,427,2014-02-01 22:21:48:509
-0.8434,2.0692,10.5421,-31.06,20.63,18.44,60.88,-11.51,3.64,86,90,4.191,630,2014-02-01 22:21:48:712
0.1177,2.2948,8.6299,-30.44,19,16.25,61.98,-11.59,5.01,86,90,4.191,831,2014-02-01 22:21:48:913
-0.4315,1.2945,11.5718,-30.62,17.44,15.31,68.32,-17.63,-0.3,86,90,4.191,1032,2014-02-01 22:21:49:114
-1.1768,2.3144,9.2281,-31.75,16.44,15.06,67.14,-9.48,5.54,86,90,4.191,1233,2014-02-01 22:21:49:315
-0.8434,1.9319,10.6696,-32.69,16,15,69.81,-12.91,7.01,86,90,4.191,1435,2014-02-01 22:21:49:517
-0.814,2.1182,11.5718,-33.19,15.13,15.13,67.89,-9.48,4.38,86,90,4.191,1635,2014-02-01 22:21:49:717
-0.1961,2.2359,8.2376,-34.25,14.13,14.75,74.43,-15.18,1.36,86,90,4.191,1835,2014-02-01 22:21:49:917
0,1.8829,12.0818,-34.62,14.69,13.63,67.39,-3.37,5.45,86,90,4.191,2036,2014-02-01 22:21:50:118
-0.9512,2.0986,6.9431,-35.12,15.69,12.38,70.4,-13.35,6.62,86,90,4.191,2238,2014-02-01 22:21:50:320
-1.6867,0.9807,11.8072,-36.62,16.63,10.88,69.04,-11.73,5.44,86,90,4.191,2439,2014-02-01 22:21:50:521
-0.7845,1.216,7.3746,-37.94,17.75,9.94,67.08,-9.23,6.48,86,90,4.191,2647,2014-02-01 22:21:50:729
-1.2945,2.5497,11.4542,-39.56,18.25,8.88,69.61,-13.3,6.89,86,90,4.191,2851,2014-02-01 22:21:50:933
-1.1376,2.432,11.8072,-32.94,25.31,20.81,56.11,-9.78,6.34,86,90,4.191,25,2014-02-01 22:21:48:107
-0.6669,1.8044,11.3463,-32.37,23.13,20.5,54.51,-5.37,6.85,86,90,4.191,226,2014-02-01 22:21:48:308
-0.7159,2.0986,8.7475,-31.37,21.44,19.19,62.65,-14.51,4.72,86,90,4.191,427,2014-02-01 22:21:48:509
-0.8434,2.0692,10.5421,-31.06,20.63,18.44,60.88,-11.51,3.64,86,90,4.191,630,2014-02-01 22:21:48:712
0.1177,2.2948,8.6299,-30.44,19,16.25,61.98,-11.59,5.01,86,90,4.191,831,2014-02-01 22:21:48:913
-0.4315,1.2945,11.5718,-30.62,17.44,15.31,68.32,-17.63,-0.3,86,90,4.191,1032,2014-02-01 22:21:49:114
