ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.8041,2.9028,8.3945,-70.62,-26.5,-2.31,109.88,-11.45,2.4,87.8,90,4.2,26,2014-01-19 14:45:33:266
-0.7159,2.9616,9.1398,-71.5,-29.25,-1.44,112.24,-18.99,5.47,87.8,90,4.2,226,2014-01-19 14:45:33:466
-0.559,2.2751,9.8067,-71.5,-31.19,0,112.91,-17.9,4.48,87.8,90,4.2,426,2014-01-19 14:45:33:666
-0.3923,2.6282,8.8652,-71.44,-35.06,1.38,115,-13.04,3.26,87.8,90,4.2,626,2014-01-19 14:45:33:866
-0.9218,2.5693,10.552,-71.12,-38.62,2.31,118.79,-16.94,7.2,87.8,90,4.2,826,2014-01-19 14:45:34:066
-0.9022,3.5304,8.3553,-69.87,-40.31,2.75,119.48,-13.2,-0.21,87.8,90,4.2,1026,2014-01-19 14:45:34:266
-0.6865,2.3928,10.7089,-69.56,-41,2.63,121.18,-20.98,5.95,87.8,90,4.2,1232,2014-01-19 14:45:34:472
-0.912,2.4615,9.689,-67.75,-41.75,2.63,122,-12,4.54,87.8,90,4.2,1444,2014-01-19 14:45:34:684
-1.4122,2.4517,8.4435,-67.12,-42.75,3.56,122.54,-14.19,5.38,87.8,90,4.2,1646,2014-01-19 14:45:34:886
-1.3533,2.3536,11.0227,-67.06,-43.87,3,124.8,-15.98,9.49,87.8,90,4.2,1850,2014-01-19 14:45:35:090
-1.0787,2.2849,7.963,-66.31,-43.12,2.5,123.79,-15.89,6.64,87.8,90,4.2,2053,2014-01-19 14:45:35:293
-0.6669,2.0986,11.258,-66.69,-42.56,2.25,124.24,-15.87,7.71,87.8,90,4.2,2267,2014-01-19 14:45:35:507
0,2.334,9.1398,-66.31,-43.06,2.63,122.72,-14.33,0,87.8,90,4.2,2471,2014-01-19 14:45:35:711
-0.6669,2.5791,9.4928,-66.25,-45,4.13,124.98,-17.83,4.88,87.8,90,4.2,2712,2014-01-19 14:45:35:952
-0.7747,2.6282,11.6111,-65.69,-46.75,4.31,126.01,-13.43,3.83,87.8,90,4.2,2916,2014-01-19 14:45:36:156
-0.7257,2.6184,7.6884,-64.87,-47.44,4,126.58,-15.62,4.86,87.8,90,4.2,3117,2014-01-19 14:45:36:357
-0.8041,2.9028,8.3945,-70.62,-26.5,-2.31,109.88,-11.45,2.4,87.8,90,4.2,26,2014-01-19 14:45:33:266
-0.7159,2.9616,9.1398,-71.5,-29.25,-1.44,112.24,-18.99,5.47,87.8,90,4.2,226,2014-01-19 14:45:33:466
-0.559,2.2751,9.8067,-71.5,-31.19,0,112.91,-17.9,4.48,87.8,90,4.2,426,2014-01-19 14:45:33:666
-0.3923,2.6282,8.8652,-71.44,-35.06,1.38,115,-13.04,3.26,87.8,90,4.2,626,2014-01-19 14:45:33:866
