ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0981,2.5497,7.7276,-64.25,-41.25,15.56,122.81,-18.75,-0.26,93.2,60,3.838,4,2014-01-15 13:59:19:461
-0.0981,3.2362,12.7486,-62.37,-42.5,15.44,125.73,-14.24,0.44,93.2,60,3.838,209,2014-01-15 13:59:19:666
-0.5001,3.0499,8.2768,-60.56,-42.62,14.56,127.96,-20.19,3.46,93.2,60,3.838,410,2014-01-15 13:59:19:867
-0.2648,3.2166,11.4542,-59.37,-42.62,14.06,127.83,-15.68,1.32,93.2,60,3.838,627,2014-01-15 13:59:20:084
-0.2648,3.6187,9.8459,-58.5,-42.25,12.69,127.41,-15.24,0.93,93.2,60,3.838,830,2014-01-15 13:59:20:287
-0.0588,2.3438,7.6884,-57.94,-42.25,11.56,126.97,-19.02,0.08,93.2,60,3.838,1038,2014-01-15 13:59:20:495
0.1079,3.1479,12.0426,-57.81,-42.31,10.81,126.41,-15.84,-1.54,93.2,60,3.838,1243,2014-01-15 13:59:20:700
-0.9022,1.9515,8.7083,-58.12,-42.44,10.13,127.88,-10.93,5.48,93.2,60,3.838,1450,2014-01-15 13:59:20:907
-0.0785,1.4514,10.7481,-58.81,-42.69,10.19,128.14,-11.53,5.78,93.2,60,3.838,1654,2014-01-15 13:59:21:111
0.2256,1.9221,11.4934,-59.56,-44.06,10.69,126.78,-8.79,-1.04,93.2,60,3.838,1856,2014-01-15 13:59:21:313
0.0883,1.7456,8.0022,-60.56,-46.12,11.38,127.65,-12.3,-0.63,93.2,60,3.838,2056,2014-01-15 13:59:21:513
0.0883,1.6083,9.7282,-62,-46.87,11.13,127.68,-11.26,-1,93.2,60,3.838,2257,2014-01-15 13:59:21:714
-0.1079,2.03,11.4836,-63.31,-46.69,10.38,127.42,-10.07,0.53,93.2,60,3.838,2457,2014-01-15 13:59:21:914
-0.1079,1.8142,7.1785,-64.69,-46.19,9.31,125.91,-10.89,0.59,93.2,60,3.838,2657,2014-01-15 13:59:22:114
-0.1373,1.9123,13.1801,-65.25,-45.62,8.69,125.95,-14.18,0.86,93.2,60,3.838,2859,2014-01-15 13:59:22:316
-0.2059,2.6282,7.8845,-67.12,-45.06,6.69,124.29,-8.25,0.6,93.2,60,3.838,3076,2014-01-15 13:59:22:533
-0.0392,2.8635,7.7276,-71,-47.37,4.63,123.74,-19.17,1.54,93.2,60,3.838,3286,2014-01-15 13:59:22:743
-0.2256,3.8442,11.5718,-72,-47.37,3.88,122.62,-17.03,-0.09,93.2,60,3.838,3491,2014-01-15 13:59:22:948
0.0981,2.5497,7.7276,-64.25,-41.25,15.56,122.81,-18.75,-0.26,93.2,60,3.838,4,2014-01-15 13:59:19:461
-0.0981,3.2362,12.7486,-62.37,-42.5,15.44,125.73,-14.24,0.44,93.2,60,3.838,209,2014-01-15 13:59:19:666
