ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.5982,3.6088,10.1499,13.19,-49.37,31.44,194.74,-19.54,3.37,93.2,60,3.838,184,2014-01-15 13:59:11:623
-0.353,4.2953,10.2381,13.94,-50.06,31.31,194.58,-22.75,1.97,93.2,60,3.838,412,2014-01-15 13:59:11:851
-0.8728,2.8733,8.6299,15.19,-50.62,31.31,197.38,-18.33,5.78,93.2,60,3.838,612,2014-01-15 13:59:12:051
-0.5688,3.5304,11.6503,17,-51.06,31.69,198.79,-13.82,4.28,93.2,60,3.838,821,2014-01-15 13:59:12:260
-0.0392,2.3536,7.963,19.19,-51.06,31.06,198.78,-18.75,1.41,93.2,60,3.838,1021,2014-01-15 13:59:12:460
-0.0883,2.432,10.0028,21.5,-51.25,30.94,201.3,-14.92,0.56,93.2,60,3.838,1223,2014-01-15 13:59:12:662
-0.6276,2.1182,13.847,24.31,-52.75,31.31,201.77,-17.77,-0.1,93.2,60,3.838,1431,2014-01-15 13:59:12:870
-0.9218,2.2751,7.5315,26.88,-54.94,31.25,206.72,-16.64,6.84,93.2,60,3.838,1635,2014-01-15 13:59:13:074
-0.6374,2.5497,8.6102,29.13,-57.12,32.19,206.37,-16.45,4.23,93.2,60,3.838,1836,2014-01-15 13:59:13:275
0.0785,2.9028,11.7484,32.31,-58.25,33.19,206.31,-13.88,-0.38,93.2,60,3.838,2036,2014-01-15 13:59:13:475
0.1275,2.3634,7.3746,35.69,-58.37,34,208.71,-14.72,-0.79,93.2,60,3.838,2238,2014-01-15 13:59:13:677
-0.0686,2.3144,9.4144,39.5,-58.56,35.06,210.92,-14.16,-0.85,93.2,60,3.838,2439,2014-01-15 13:59:13:878
-1.1278,3.197,11.0619,44.13,-59.19,36.31,215.57,-14.64,4.5,93.2,60,3.838,2639,2014-01-15 13:59:14:078
-0.8924,2.3536,8.316,48.38,-59.87,36.75,218.42,-16.23,7.51,93.2,60,3.838,2840,2014-01-15 13:59:14:279
-0.7551,2.3144,10.9442,52.56,-59.75,35.75,220.26,-11.91,3.95,93.2,60,3.838,3040,2014-01-15 13:59:14:479
-0.0392,3.2166,11.1011,57.56,-57.5,34.31,222.18,-16.16,0.2,93.2,60,3.838,3259,2014-01-15 13:59:14:698
0.2746,2.8145,5.1779,61.69,-55,31.69,224.1,-19.11,-1.63,93.2,60,3.838,3461,2014-01-15 13:59:14:900
-0.5982,3.6088,10.1499,13.19,-49.37,31.44,194.74,-19.54,3.37,93.2,60,3.838,184,2014-01-15 13:59:11:623
-0.353,4.2953,10.2381,13.94,-50.06,31.31,194.58,-22.75,1.97,93.2,60,3.838,412,2014-01-15 13:59:11:851
-0.8728,2.8733,8.6299,15.19,-50.62,31.31,197.38,-18.33,5.78,93.2,60,3.838,612,2014-01-15 13:59:12:051
