sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0981;2.9028;10.3558;21.94;-43.44;3.31;207.38;-14.1;-0.26;86.0;60.0;3.868;11;2014-01-18 12:57:05:462
0.0981;2.7066;11.1796;20.13;-44.25;3.63;204.65;-15.66;-0.54;86.0;60.0;3.868;212;2014-01-18 12:57:05:663
0.0392;1.9221;8.7083;18.63;-44.94;3.13;203.43;-11.35;-0.59;86.0;60.0;3.868;412;2014-01-18 12:57:05:863
0.0785;2.3242;10.7089;18.0;-46.31;2.94;201.55;-12.76;-0.26;86.0;60.0;3.868;612;2014-01-18 12:57:06:063
0.2746;2.2065;10.7089;16.94;-47.44;4.13;200.95;-11.41;-0.57;86.0;60.0;3.868;812;2014-01-18 12:57:06:263
0.5492;2.0398;8.6691;15.88;-48.44;4.06;199.26;-12.11;-3.07;86.0;60.0;3.868;1012;2014-01-18 12:57:06:463
0.5492;2.5105;10.042;15.63;-47.75;4.31;198.18;-13.63;-3.74;86.0;60.0;3.868;1213;2014-01-18 12:57:06:664
0.353;2.4419;11.464;15.38;-47.06;4.5;197.37;-14.02;-3.13;86.0;60.0;3.868;1422;2014-01-18 12:57:06:873
0.353;2.2555;9.3752;14.63;-46.06;4.63;197.83;-12.02;-1.76;86.0;60.0;3.868;1623;2014-01-18 12:57:07:074
0.2256;2.4026;8.316;14.13;-46.44;5.5;196.7;-13.52;-2.16;86.0;60.0;3.868;1823;2014-01-18 12:57:07:274
0.3334;2.5105;11.8562;13.81;-47.56;6.06;196.6;-15.99;-0.31;86.0;60.0;3.868;2024;2014-01-18 12:57:07:475
0.6963;2.3536;9.4144;13.25;-48.69;6.56;194.84;-13.23;-2.05;86.0;60.0;3.868;2231;2014-01-18 12:57:07:682
0.6963;2.8733;9.2967;12.5;-48.69;6.94;194.05;-17.37;-5.2;86.0;60.0;3.868;2432;2014-01-18 12:57:07:883
0.6276;2.2359;11.3365;12.56;-48.25;7.13;193.39;-17.61;-4.17;86.0;60.0;3.868;2632;2014-01-18 12:57:08:083
0.1667;2.1771;8.5122;12.31;-48.12;7.5;193.43;-11.14;-3.17;86.0;60.0;3.868;2841;2014-01-18 12:57:08:292
-0.0294;2.4026;8.5808;12.44;-48.12;8.44;194.82;-14.34;-1.12;86.0;60.0;3.868;3049;2014-01-18 12:57:08:500
0.2157;2.5007;12.631;12.63;-49.06;9.25;193.89;-15.64;0.2;86.0;60.0;3.868;3250;2014-01-18 12:57:08:701
0.5884;1.7652;9.2575;12.25;-50.19;10.44;194.11;-11.2;-0.98;86.0;60.0;3.868;3451;2014-01-18 12:57:08:902
0.7845;1.7946;8.6299;12.88;-50.62;11.19;193.21;-10.54;-3.64;86.0;60.0;3.868;3652;2014-01-18 12:57:09:103
0.6276;3.1774;10.1597;13.75;-50.81;12.81;193.73;-11.7;-5.19;86.0;60.0;3.868;3853;2014-01-18 12:57:09:304
-0.1961;2.2751;10.3166;14.5;-50.56;14.0;194.01;-17.34;-3.54;86.0;60.0;3.868;4053;2014-01-18 12:57:09:504
-1.0199;2.2457;7.7276;15.19;-50.56;15.75;196.38;-12.43;1.09;86.0;60.0;3.868;4258;2014-01-18 12:57:09:709
