sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0981;2.3732;8.62;25.56;-46.06;4.69;209.74;-15.39;0.65;87.8;80.0;4.036;9;2014-01-14 22:35:32:930
0.0883;2.7655;10.3558;23.69;-46.69;5.94;207.0;-14.95;-0.49;87.8;80.0;4.036;209;2014-01-14 22:35:33:130
-0.9022;1.4318;10.0812;22.13;-47.19;7.38;205.61;-6.62;6.22;87.8;80.0;4.036;413;2014-01-14 22:35:33:334
-0.6669;2.0986;8.3357;20.13;-48.0;8.75;203.09;-12.75;4.57;87.8;80.0;4.036;628;2014-01-14 22:35:33:549
-0.8728;2.5988;12.0033;18.56;-49.37;10.56;201.73;-13.23;4.82;87.8;80.0;4.036;828;2014-01-14 22:35:33:749
0.353;2.0104;9.179;17.38;-49.56;10.63;198.92;-11.3;-2.06;87.8;80.0;4.036;1030;2014-01-14 22:35:33:951
-0.0981;2.383;8.1886;16.94;-49.5;10.38;199.22;-15.9;1.94;87.8;80.0;4.036;1240;2014-01-14 22:35:34:161
-0.9022;2.1869;11.3757;16.06;-48.25;10.06;198.21;-12.02;0.69;87.8;80.0;4.036;1446;2014-01-14 22:35:34:367
-0.9414;1.7064;9.1398;15.25;-47.5;10.5;198.35;-7.51;4.83;87.8;80.0;4.036;1648;2014-01-14 22:35:34:569
-0.912;2.2457;8.1395;14.38;-48.06;12.13;198.41;-13.56;6.82;87.8;80.0;4.036;1848;2014-01-14 22:35:34:769
-0.8434;2.8047;10.9442;13.81;-49.75;13.38;196.78;-15.88;5.44;87.8;80.0;4.036;2049;2014-01-14 22:35:34:970
-0.304;1.8829;9.7282;13.13;-51.5;13.75;194.58;-8.68;2.68;87.8;80.0;4.036;2250;2014-01-14 22:35:35:171
0.1569;2.1575;8.5122;12.25;-52.5;13.81;193.42;-13.85;-0.59;87.8;80.0;4.036;2453;2014-01-14 22:35:35:374
-0.1569;2.0986;10.905;12.06;-52.56;13.56;192.37;-11.23;0.0;87.8;80.0;4.036;2660;2014-01-14 22:35:35:581
-1.0297;1.5004;9.8851;12.19;-52.37;13.5;193.84;-9.31;5.14;87.8;80.0;4.036;2864;2014-01-14 22:35:35:785
-0.863;1.8044;7.7669;12.63;-52.81;14.81;194.12;-8.77;6.08;87.8;80.0;4.036;3075;2014-01-14 22:35:35:996
-0.9218;2.5988;10.2774;12.56;-53.0;15.31;194.94;-17.92;6.29;87.8;80.0;4.036;3276;2014-01-14 22:35:36:197
-0.5982;1.8044;10.8265;13.63;-55.0;16.5;194.18;-13.03;4.25;87.8;80.0;4.036;3488;2014-01-14 22:35:36:409
-0.4119;2.0496;8.0415;13.88;-55.81;17.31;194.18;-9.66;2.23;87.8;80.0;4.036;3698;2014-01-14 22:35:36:619
-0.2256;2.7066;11.2188;14.75;-55.69;17.81;194.81;-14.86;1.62;87.8;80.0;4.036;3917;2014-01-14 22:35:36:838
-1.3729;1.2945;11.2776;16.25;-55.19;17.81;195.6;-13.29;1.14;87.8;80.0;4.036;4118;2014-01-14 22:35:37:039
-1.1964;2.2457;7.6884;17.0;-54.81;18.56;198.65;-6.5;6.94;87.8;80.0;4.036;4321;2014-01-14 22:35:37:242
