ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.863,2.6282,10.3166,-69.75,-24.75,5.88,110.42,-8.43,1.99,86,70,3.978,4,2014-01-31 14:20:50:090
0.0785,2.8635,8.8652,-69.69,-29.62,7.56,112.07,-18.85,-6.08,86,70,3.978,209,2014-01-31 14:20:50:295
-0.9022,2.589,11.0619,-69.87,-31.94,7.5,114.39,-17.9,-0.51,86,70,3.978,409,2014-01-31 14:20:50:495
-0.2452,2.5693,7.1785,-69.75,-34.56,8.13,116.55,-21.38,2.51,86,70,3.978,614,2014-01-31 14:20:50:700
-0.0785,1.726,13.4155,-69.25,-37.37,8.06,118.13,-15.4,1.47,86,70,3.978,823,2014-01-31 14:20:50:909
0.1765,2.2261,7.61,-68.69,-39.62,8.44,120.14,-16.64,-1.33,86,70,3.978,1038,2014-01-31 14:20:51:124
-0.5198,1.9809,13.0625,-67.81,-41.69,9.44,122.6,-12.62,1.44,86,70,3.978,1243,2014-01-31 14:20:51:329
0.1961,3.2558,9.0221,-66.69,-41.62,9.25,122.26,-12.35,-1.99,86,70,3.978,1443,2014-01-31 14:20:51:529
0.304,2.3928,10.4735,-65.06,-39,9.81,121.39,-21.85,-1.09,86,70,3.978,1647,2014-01-31 14:20:51:733
-0.6669,2.6674,11.2188,-64.44,-38.56,9.19,121.68,-13.09,-1.55,86,70,3.978,1848,2014-01-31 14:20:51:934
-0.4119,1.8437,7.5315,-63.87,-38.12,9.19,122.11,-16.2,2.73,86,70,3.978,2048,2014-01-31 14:20:52:134
-0.6865,2.1575,10.7873,-64.19,-38.37,8.56,122.97,-16.71,5.54,86,70,3.978,2248,2014-01-31 14:20:52:334
-0.657,1.9613,10.3558,-65.25,-40.12,7.75,122.04,-9.73,3.01,86,70,3.978,2448,2014-01-31 14:20:52:534
-0.4805,2.2849,9.689,-64.87,-41.75,8.13,123.65,-19.11,3.89,86,70,3.978,2651,2014-01-31 14:20:52:737
-1.3533,2.079,12.6702,-64.62,-43,7.88,125.16,-9.26,6.36,86,70,3.978,2880,2014-01-31 14:20:52:966
-0.4315,2.1869,7.1,-63.75,-45,7.56,126.02,-10.88,2.5,86,70,3.978,3088,2014-01-31 14:20:53:174
0.863,2.6282,10.3166,-69.75,-24.75,5.88,110.42,-8.43,1.99,86,70,3.978,4,2014-01-31 14:20:50:090
0.0785,2.8635,8.8652,-69.69,-29.62,7.56,112.07,-18.85,-6.08,86,70,3.978,209,2014-01-31 14:20:50:295
-0.9022,2.589,11.0619,-69.87,-31.94,7.5,114.39,-17.9,-0.51,86,70,3.978,409,2014-01-31 14:20:50:495
-0.2452,2.5693,7.1785,-69.75,-34.56,8.13,116.55,-21.38,2.51,86,70,3.978,614,2014-01-31 14:20:50:700
-0.0785,1.726,13.4155,-69.25,-37.37,8.06,118.13,-15.4,1.47,86,70,3.978,823,2014-01-31 14:20:50:909
