ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.4707,2.6478,11.0227,14.13,-55.5,29.38,194.21,-13.5,2.45,87.8,90,4.2,111,2014-01-19 14:45:08:859
0.0392,2.7164,10.7971,15.44,-55.87,29.06,193.64,-14.12,-0.21,87.8,90,4.2,322,2014-01-19 14:45:09:070
-0.0686,2.6674,7.8453,17.63,-56.31,28.75,196.33,-18.78,0.5,87.8,90,4.2,523,2014-01-19 14:45:09:271
-0.4609,2.6674,12.1995,19.31,-57.25,29,197.64,-14.76,1.67,87.8,90,4.2,724,2014-01-19 14:45:09:472
-0.8826,3.1675,9.3752,20.44,-58.25,30.06,199.03,-15.05,3.68,87.8,90,4.2,926,2014-01-19 14:45:09:674
-0.3334,2.4713,7.6884,22.38,-61.19,30.75,199.4,-16.81,3.01,87.8,90,4.2,1126,2014-01-19 14:45:09:874
-0.2746,2.7066,10.905,25.5,-63,30.94,201.36,-13.93,1.44,87.8,90,4.2,1327,2014-01-19 14:45:10:075
-0.0785,2.9616,7.7669,28.63,-63.87,31.69,202.41,-20.87,0.58,87.8,90,4.2,1527,2014-01-19 14:45:10:275
-0.1765,2.7262,9.0613,31.56,-65,33.06,204.51,-16.74,1.12,87.8,90,4.2,1727,2014-01-19 14:45:10:475
-0.4217,3.0401,11.8464,34.69,-66.5,34.69,206.71,-13.44,2.07,87.8,90,4.2,1927,2014-01-19 14:45:10:675
-0.8434,2.7949,8.4337,37.38,-68.94,36.38,207.87,-16.56,4.86,87.8,90,4.2,2128,2014-01-19 14:45:10:876
-0.7061,2.7361,8.4729,40.13,-71.75,36.31,208.44,-17.85,4.3,87.8,90,4.2,2331,2014-01-19 14:45:11:079
-0.5786,2.7851,12.6702,44.94,-73.44,35.13,210.81,-13.3,3.1,87.8,90,4.2,2533,2014-01-19 14:45:11:281
-0.4707,2.6478,11.0227,14.13,-55.5,29.38,194.21,-13.5,2.45,87.8,90,4.2,111,2014-01-19 14:45:08:859
0.0392,2.7164,10.7971,15.44,-55.87,29.06,193.64,-14.12,-0.21,87.8,90,4.2,322,2014-01-19 14:45:09:070
-0.0686,2.6674,7.8453,17.63,-56.31,28.75,196.33,-18.78,0.5,87.8,90,4.2,523,2014-01-19 14:45:09:271
-0.4609,2.6674,12.1995,19.31,-57.25,29,197.64,-14.76,1.67,87.8,90,4.2,724,2014-01-19 14:45:09:472
-0.8826,3.1675,9.3752,20.44,-58.25,30.06,199.03,-15.05,3.68,87.8,90,4.2,926,2014-01-19 14:45:09:674
-0.3334,2.4713,7.6884,22.38,-61.19,30.75,199.4,-16.81,3.01,87.8,90,4.2,1126,2014-01-19 14:45:09:874
-0.2746,2.7066,10.905,25.5,-63,30.94,201.36,-13.93,1.44,87.8,90,4.2,1327,2014-01-19 14:45:10:075
-0.0785,2.9616,7.7669,28.63,-63.87,31.69,202.41,-20.87,0.58,87.8,90,4.2,1527,2014-01-19 14:45:10:275
