ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0294,4.1188,10.5912,-72.19,-36.94,3.06,116.59,-18.04,-0.16,93.2,60,3.838,4,2014-01-15 13:59:35:282
-0.7845,3.7952,9.9636,-71.06,-38.69,3.38,118.31,-19.99,4.24,93.2,60,3.838,204,2014-01-15 13:59:35:482
-0.608,2.6282,9.2967,-69.94,-39.44,3.88,119.6,-21.45,4.92,93.2,60,3.838,412,2014-01-15 13:59:35:690
0.0785,3.1479,11.8464,-69.87,-39.56,3.94,119.49,-14.56,-0.4,93.2,60,3.838,629,2014-01-15 13:59:35:907
-0.1765,2.0398,8.5122,-69.25,-40.75,3.94,120.42,-14.88,-0.38,93.2,60,3.838,830,2014-01-15 13:59:36:108
-0.6178,3.9227,11.0619,-68.56,-41.75,3.5,121.59,-15.27,2.32,93.2,60,3.838,1034,2014-01-15 13:59:36:312
-0.8728,4.4326,10.1205,-67.87,-41.31,1.63,121.95,-17.94,4.42,93.2,60,3.838,1235,2014-01-15 13:59:36:513
-0.9905,2.8341,8.1984,-66.94,-40.5,0.75,121.75,-14.23,4.5,93.2,60,3.838,1436,2014-01-15 13:59:36:714
-0.0785,4.5111,11.4149,-67,-39.75,0.88,121.21,-18.9,5.71,93.2,60,3.838,1638,2014-01-15 13:59:36:916
-0.0785,2.8439,8.4729,-66.69,-39.37,2,119.67,-14.55,0.54,93.2,60,3.838,1839,2014-01-15 13:59:37:117
0.0098,3.5696,7.7669,-67.12,-40,3.06,119.58,-21.5,-0.62,93.2,60,3.838,2039,2014-01-15 13:59:37:317
0.0981,4.5503,11.4149,-67.75,-39.75,3.63,118.68,-25.52,-1.4,93.2,60,3.838,2250,2014-01-15 13:59:37:528
-0.9022,2.942,6.9431,-67.94,-39.69,3.88,121.53,-15.97,5.4,93.2,60,3.838,2450,2014-01-15 13:59:37:728
-0.3334,4.1972,11.1796,-68,-40.44,4.06,121.83,-23.15,7.01,93.2,60,3.838,2659,2014-01-15 13:59:37:937
-0.255,4.1286,10.1989,-67.56,-42.31,4.38,121.41,-20.57,1.71,93.2,60,3.838,2874,2014-01-15 13:59:38:152
0.049,3.2558,7.9336,-66.31,-47.25,6.56,123.71,-22.03,1.43,93.2,60,3.838,3075,2014-01-15 13:59:38:353
0,4.1972,9.8459,-64.75,-50.44,7.13,125.92,-22.31,-0.35,93.2,60,3.838,3276,2014-01-15 13:59:38:554
-0.2746,4.0011,10.6304,-62.87,-51.06,7.38,125.94,-27.08,-3.84,93.2,60,3.838,3476,2014-01-15 13:59:38:754
0.0294,4.1188,10.5912,-72.19,-36.94,3.06,116.59,-18.04,-0.16,93.2,60,3.838,4,2014-01-15 13:59:35:282
-0.7845,3.7952,9.9636,-71.06,-38.69,3.38,118.31,-19.99,4.24,93.2,60,3.838,204,2014-01-15 13:59:35:482
