sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0098;2.2163;10.3558;40.06;-1.75;18.06;262.97;-13.47;1.14;87.8;80.0;4.059;36;2014-02-02 12:54:26:906
-0.0294;1.7946;10.395;40.63;-2.75;18.0;263.71;-7.77;0.05;87.8;80.0;4.059;236;2014-02-02 12:54:27:106
-0.0883;1.7162;8.9829;41.69;-2.44;17.13;261.61;-9.98;0.17;87.8;80.0;4.059;437;2014-02-02 12:54:27:307
-0.0588;1.7554;10.2381;42.13;-1.87;16.31;263.35;-10.59;0.06;87.8;80.0;4.059;637;2014-02-02 12:54:27:507
0.0588;1.6966;10.7089;43.69;-0.87;15.44;266.76;-8.19;5.69;87.8;80.0;4.059;842;2014-02-02 12:54:27:712
-0.2844;1.6966;8.316;44.06;-1.25;15.63;265.41;-9.0;-0.31;87.8;80.0;4.059;1052;2014-02-02 12:54:27:922
-0.2844;1.7064;11.2188;43.94;-1.94;15.94;263.78;-11.52;1.96;87.8;80.0;4.059;1266;2014-02-02 12:54:28:136
-0.1373;0.863;9.3948;44.5;-3.12;16.31;263.47;-8.65;1.45;87.8;80.0;4.059;1475;2014-02-02 12:54:28:345
0.0294;1.2062;9.8459;44.88;-4.19;16.06;263.21;-5.25;0.84;87.8;80.0;4.059;1686;2014-02-02 12:54:28:556
0.1569;1.9221;11.2973;45.81;-3.44;15.19;262.64;-6.98;-0.17;87.8;80.0;4.059;1896;2014-02-02 12:54:28:766
-0.3236;1.7456;9.0613;46.13;-4.56;14.94;260.92;-10.9;2.05;87.8;80.0;4.059;2112;2014-02-02 12:54:28:982
-0.3628;1.5593;10.4735;46.25;-5.94;15.63;259.92;-9.33;1.88;87.8;80.0;4.059;2318;2014-02-02 12:54:29:188
-0.5492;1.6279;10.0028;46.44;-8.44;16.69;257.05;-7.88;-1.8;87.8;80.0;4.059;2529;2014-02-02 12:54:29:399
-0.0392;1.5298;8.4337;46.44;-9.5;17.69;255.77;-10.32;1.87;87.8;80.0;4.059;2734;2014-02-02 12:54:29:604
0.0686;1.5691;10.1597;47.25;-10.5;18.5;254.69;-8.78;-0.39;87.8;80.0;4.059;2935;2014-02-02 12:54:29:805
-0.2648;1.9613;11.4934;48.19;-11.44;19.44;254.04;-9.68;1.32;87.8;80.0;4.059;3136;2014-02-02 12:54:30:006
-0.5296;1.4514;8.5906;48.56;-12.75;20.31;252.69;-9.22;3.19;87.8;80.0;4.059;3336;2014-02-02 12:54:30:206
-0.3628;1.6867;11.0227;49.81;-15.06;21.31;250.51;-9.53;2.12;87.8;80.0;4.059;3541;2014-02-02 12:54:30:411
-0.2059;1.6279;9.6497;50.25;-16.12;22.94;249.06;-9.16;1.13;87.8;80.0;4.059;3745;2014-02-02 12:54:30:615
-0.1373;1.5789;8.6495;51.06;-16.06;24.13;248.82;-10.34;0.91;87.8;80.0;4.059;3946;2014-02-02 12:54:30:816
-0.4707;1.6279;11.6013;52.19;-15.37;24.69;251.19;-7.79;2.0;87.8;80.0;4.059;4147;2014-02-02 12:54:31:017
-1.2945;0.8238;9.5713;52.25;-14.62;26.75;252.04;-8.35;7.05;87.8;80.0;4.059;4360;2014-02-02 12:54:31:230
-0.7551;1.726;8.5416;51.69;-14.37;27.56;253.29;-7.02;7.0;87.8;80.0;4.059;4568;2014-02-02 12:54:31:438
