ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0588,2.334,9.3065,-64.31,-41.25,0.19,121.97,-11.51,-1.07,87.8,50,3.78,7,2014-01-18 21:27:34:573
-0.2942,2.7361,11.3365,-64.62,-41.19,0,121.87,-15.26,0.78,87.8,50,3.78,208,2014-01-18 21:27:34:774
0.0883,1.6867,8.3553,-65,-41.75,0,122.44,-12.39,1.14,87.8,50,3.78,409,2014-01-18 21:27:34:975
0.1569,2.432,10.1205,-65.81,-42.5,0.38,121.81,-11.41,-1.08,87.8,50,3.78,609,2014-01-18 21:27:35:175
-0.0883,2.0888,10.3558,-67.12,-44.12,0.63,122.83,-12.12,0,87.8,50,3.78,810,2014-01-18 21:27:35:376
-0.0883,1.6279,9.7184,-67.69,-44.25,0.63,122.58,-11.4,0.49,87.8,50,3.78,1014,2014-01-18 21:27:35:580
-0.3727,1.8927,9.5517,-67.31,-43.81,0.75,123.1,-9.51,0.52,87.8,50,3.78,1215,2014-01-18 21:27:35:781
-0.1275,1.9515,10.8069,-66.94,-42.56,0.19,122.52,-11.2,2.23,87.8,50,3.78,1415,2014-01-18 21:27:35:981
0.0686,1.2553,8.8064,-67.06,-42.94,0.25,121.86,-7.27,-0.17,87.8,50,3.78,1616,2014-01-18 21:27:36:182
-0.0785,1.6083,10.905,-66.87,-43.5,0,122.24,-9.61,-0.7,87.8,50,3.78,1817,2014-01-18 21:27:36:383
-0.3334,1.5985,10.1989,-67.56,-44.62,-0.56,123.32,-7.53,1.48,87.8,50,3.78,2018,2014-01-18 21:27:36:584
-0.5198,1.3631,9.1398,-67.75,-45.37,-1.06,123.46,-9.15,3.34,87.8,50,3.78,2220,2014-01-18 21:27:36:786
-0.1863,1.8437,10.6108,-68.44,-44,-1.25,123.48,-8.47,3.25,87.8,50,3.78,2428,2014-01-18 21:27:36:994
0.1275,1.775,10.1597,-68.94,-43.56,-1.25,122.16,-9.86,1.01,87.8,50,3.78,2645,2014-01-18 21:27:37:211
0.4609,1.8731,9.1202,-69.62,-43.31,-0.87,120.99,-9.91,-0.72,87.8,50,3.78,2858,2014-01-18 21:27:37:424
0.0981,1.8044,10.4539,-72.37,-44.62,-2.06,121.37,-9.79,-0.54,87.8,50,3.78,3058,2014-01-18 21:27:37:624
0.0294,1.216,10.1597,-73.81,-44.5,-3.56,120.27,-6.83,-0.17,87.8,50,3.78,3270,2014-01-18 21:27:37:836
-0.1471,1.7456,8.7868,-75.56,-44.31,-5.62,119.17,-10.6,1.41,87.8,50,3.78,3521,2014-01-18 21:27:38:087
-0.0981,2.3046,10.9442,-77.37,-44.06,-7.5,118.43,-12.06,0.52,87.8,50,3.78,3722,2014-01-18 21:27:38:288
-0.0981,2.3046,10.9442,-77.37,-44.06,-7.5,118.43,-12.06,0.52,87.8,50,3.78,3722,2014-01-18 21:27:38:288
