sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.2844;1.5789;8.8456;-76.87;23.94;13.25;76.26;-8.52;2.67;87.8;80.0;4.059;7;2014-02-02 12:54:53:332
-0.4903;2.2555;11.1796;-75.06;25.13;12.5;74.66;-13.66;2.72;87.8;80.0;4.059;216;2014-02-02 12:54:53:541
-0.2256;1.7064;10.7873;-71.56;27.38;11.44;70.75;-7.43;2.46;87.8;80.0;4.059;417;2014-02-02 12:54:53:742
-0.3334;1.5004;8.6691;-69.31;27.13;13.13;70.76;-9.88;2.45;87.8;80.0;4.059;618;2014-02-02 12:54:53:943
-0.0686;1.6671;12.0426;-66.69;24.56;16.0;71.57;-8.96;0.39;87.8;80.0;4.059;821;2014-02-02 12:54:54:146
-0.1667;1.7652;9.8459;-65.06;23.44;18.44;72.4;-9.02;1.2;87.8;80.0;4.059;1021;2014-02-02 12:54:54:346
-0.9512;1.7652;8.7573;-62.94;22.19;19.63;73.83;-11.3;2.42;87.8;80.0;4.059;1221;2014-02-02 12:54:54:546
-0.0392;1.5887;10.8265;-60.06;22.13;20.5;74.04;-10.79;5.13;87.8;80.0;4.059;1424;2014-02-02 12:54:54:749
-0.2746;2.0006;9.3457;-57.69;21.31;20.94;72.8;-9.41;0.21;87.8;80.0;4.059;1624;2014-02-02 12:54:54:949
-0.1471;2.0104;9.8851;-56.31;21.06;21.38;74.07;-12.08;1.68;87.8;80.0;4.059;1825;2014-02-02 12:54:55:150
-0.5296;1.8044;11.2973;-51.94;19.19;23.63;73.93;-10.82;1.07;87.8;80.0;4.059;2025;2014-02-02 12:54:55:350
-0.7649;1.7652;9.8949;-49.62;18.31;23.63;74.06;-9.8;2.91;87.8;80.0;4.059;2225;2014-02-02 12:54:55:550
-0.7453;1.9809;8.3357;-47.0;18.88;23.19;76.33;-13.05;5.13;87.8;80.0;4.059;2426;2014-02-02 12:54:55:751
-0.5884;1.9711;12.0426;-44.81;19.63;23.19;72.9;-11.07;4.33;87.8;80.0;4.059;2627;2014-02-02 12:54:55:952
-0.5982;1.6966;8.9437;-42.81;19.0;22.38;70.27;-9.95;2.8;87.8;80.0;4.059;2835;2014-02-02 12:54:56:160
-0.1079;1.4514;9.689;-41.94;18.44;22.25;71.56;-9.83;2.45;87.8;80.0;4.059;3038;2014-02-02 12:54:56:363
-1.4318;1.4906;11.4346;-39.69;18.19;23.31;70.17;-8.52;0.64;87.8;80.0;4.059;3240;2014-02-02 12:54:56:565
-0.9512;1.4906;9.1398;-36.87;16.44;23.81;69.19;-7.37;7.14;87.8;80.0;4.059;3442;2014-02-02 12:54:56:767
-0.5884;1.5789;9.4144;-34.69;17.38;24.75;70.54;-10.21;5.0;87.8;80.0;4.059;3643;2014-02-02 12:54:56:968
-0.0588;1.6279;10.7873;-33.56;18.13;24.88;67.36;-8.96;3.01;87.8;80.0;4.059;3843;2014-02-02 12:54:57:168
-0.1569;1.7652;8.4729;-31.44;19.31;25.0;64.68;-9.55;0.63;87.8;80.0;4.059;4045;2014-02-02 12:54:57:370
0.1177;1.9221;9.6497;-29.19;20.0;25.25;63.33;-11.77;0.73;87.8;80.0;4.059;4245;2014-02-02 12:54:57:570
