sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.7257;2.893;9.5321;13.19;-49.69;10.0;195.21;-16.84;4.35;87.8;80.0;4.036;92;2014-01-14 22:35:15:290
-1.4906;3.1381;10.042;14.13;-51.44;10.63;196.12;-18.65;4.79;87.8;80.0;4.036;293;2014-01-14 22:35:15:491
-1.422;2.9812;10.905;15.38;-54.19;12.63;196.76;-15.17;7.43;87.8;80.0;4.036;509;2014-01-14 22:35:15:707
-0.1765;1.9221;8.8652;15.56;-54.94;13.0;196.57;-5.59;2.9;87.8;80.0;4.036;709;2014-01-14 22:35:15:907
-0.1275;2.1378;9.0613;16.19;-55.19;12.94;196.0;-12.22;0.82;87.8;80.0;4.036;910;2014-01-14 22:35:16:108
-0.4511;2.4615;11.1011;16.94;-54.81;12.31;197.02;-12.12;1.01;87.8;80.0;4.036;1110;2014-01-14 22:35:16:308
-1.0003;1.3729;8.9829;17.69;-54.19;11.56;199.45;-6.52;7.01;87.8;80.0;4.036;1314;2014-01-14 22:35:16:512
-0.7551;2.079;8.571;18.5;-54.69;11.13;199.68;-12.25;5.21;87.8;80.0;4.036;1532;2014-01-14 22:35:16:730
-0.7061;2.3144;12.2779;18.56;-55.94;11.69;199.47;-12.76;3.96;87.8;80.0;4.036;1733;2014-01-14 22:35:16:931
-0.5492;0.5394;9.9243;19.0;-56.81;11.69;199.02;-2.32;3.93;87.8;80.0;4.036;1934;2014-01-14 22:35:17:132
-0.0392;1.4024;9.689;19.5;-57.5;11.38;198.23;-9.02;0.74;87.8;80.0;4.036;2136;2014-01-14 22:35:17:334
-0.0883;1.7064;11.4542;20.56;-56.81;10.81;199.06;-8.66;0.21;87.8;80.0;4.036;2337;2014-01-14 22:35:17:535
-0.912;0.5296;9.9636;20.69;-56.94;10.63;200.85;-1.54;4.48;87.8;80.0;4.036;2538;2014-01-14 22:35:17:736
-0.6178;1.5985;8.1591;21.19;-56.87;10.44;200.86;-4.62;5.75;87.8;80.0;4.036;2738;2014-01-14 22:35:17:936
-0.3236;2.0006;11.4149;21.5;-57.62;9.88;201.06;-11.26;3.43;87.8;80.0;4.036;2949;2014-01-14 22:35:18:147
-0.0392;0.5884;11.2188;22.0;-59.94;10.69;200.42;-9.94;1.62;87.8;80.0;4.036;3157;2014-01-14 22:35:18:355
0.1569;1.5102;8.3749;23.56;-60.44;10.5;201.3;-8.67;-1.05;87.8;80.0;4.036;3357;2014-01-14 22:35:18:555
0.3923;2.1575;11.4542;24.81;-59.5;10.75;201.4;-13.28;-0.98;87.8;80.0;4.036;3561;2014-01-14 22:35:18:759
-0.3432;0.8434;9.8459;25.38;-58.94;10.31;202.9;-7.38;1.37;87.8;80.0;4.036;3766;2014-01-14 22:35:18:964
-0.3432;2.0006;8.1787;26.88;-57.87;10.75;205.06;-13.73;2.4;87.8;80.0;4.036;3977;2014-01-14 22:35:19:175
-0.2746;2.3046;10.2185;27.69;-58.69;10.94;205.31;-12.7;1.54;87.8;80.0;4.036;4198;2014-01-14 22:35:19:396
0.0196;2.1673;12.3564;28.38;-59.62;10.94;204.65;-12.46;-0.1;87.8;80.0;4.036;4398;2014-01-14 22:35:19:596
0.5982;1.5298;8.316;28.5;-60.06;10.88;205.41;-9.95;-0.09;87.8;80.0;4.036;4613;2014-01-14 22:35:19:811
0.5884;1.9809;11.2188;29.19;-60.87;10.0;204.75;-10.4;-4.11;87.8;80.0;4.036;4824;2014-01-14 22:35:20:022
