sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.5786;1.216;8.9731;21.63;-50.81;4.81;204.12;-7.78;5.18;89.6;50.0;3.668;5;2014-01-30 13:11:33:232
-1.8044;1.5298;11.4934;21.19;-51.19;5.31;202.64;-7.7;3.69;89.6;50.0;3.668;207;2014-01-30 13:11:33:434
-0.9218;1.7064;9.0613;21.19;-51.25;6.38;202.68;-9.37;3.7;89.6;50.0;3.668;407;2014-01-30 13:11:33:634
-0.9611;2.5497;8.8456;20.56;-51.81;6.94;202.6;-10.47;6.23;89.6;50.0;3.668;612;2014-01-30 13:11:33:839
-0.0392;1.6475;11.1796;19.75;-52.12;8.25;201.91;-15.99;6.2;89.6;50.0;3.668;820;2014-01-30 13:11:34:047
-0.2942;1.726;8.0807;18.5;-52.87;11.0;199.46;-8.38;0.2;89.6;50.0;3.668;1021;2014-01-30 13:11:34:248
-0.2942;1.8338;10.395;18.0;-51.69;11.13;199.13;-12.05;2.09;89.6;50.0;3.668;1224;2014-01-30 13:11:34:451
-0.7355;1.4514;11.6503;17.44;-51.0;11.63;199.38;-10.0;1.62;89.6;50.0;3.668;1424;2014-01-30 13:11:34:651
0.0588;1.2749;8.5514;16.81;-51.25;11.38;198.76;-7.13;3.24;89.6;50.0;3.668;1626;2014-01-30 13:11:34:853
-0.4903;1.0689;8.826;16.44;-51.0;11.13;197.93;-8.65;4.33;89.6;50.0;3.668;1826;2014-01-30 13:11:35:053
0.5884;1.0689;11.7386;15.44;-51.62;10.88;196.31;-5.87;2.38;89.6;50.0;3.668;2029;2014-01-30 13:11:35:256
0.0392;0.863;9.4144;12.94;-52.44;10.56;194.26;-5.2;-2.87;89.6;50.0;3.668;2230;2014-01-30 13:11:35:457
0.0785;0.8238;9.8655;11.81;-51.87;10.19;192.78;-5.24;-0.24;89.6;50.0;3.668;2430;2014-01-30 13:11:35:657
-0.0981;1.0689;11.258;10.75;-52.06;10.0;191.72;-4.77;-0.46;89.6;50.0;3.668;2630;2014-01-30 13:11:35:857
-0.0981;1.1082;9.3752;10.25;-52.31;9.94;190.83;-5.42;0.5;89.6;50.0;3.668;2830;2014-01-30 13:11:36:057
-0.4609;1.2356;9.2575;10.31;-53.56;9.94;190.71;-7.76;2.15;89.6;50.0;3.668;3032;2014-01-30 13:11:36:259
-0.1667;1.3925;11.3365;10.13;-55.56;10.19;190.39;-7.6;2.41;89.6;50.0;3.668;3234;2014-01-30 13:11:36:461
-0.3923;1.3435;10.6794;9.0;-58.0;11.69;188.99;-7.0;0.84;89.6;50.0;3.668;3434;2014-01-30 13:11:36:661
-0.0883;1.471;9.7282;8.81;-58.37;12.38;189.08;-7.17;2.1;89.6;50.0;3.668;3639;2014-01-30 13:11:36:866
-0.4609;1.4906;10.7775;9.06;-59.0;13.13;188.6;-8.6;0.52;89.6;50.0;3.668;3844;2014-01-30 13:11:37:071
-0.6963;1.7652;9.5713;9.75;-59.69;14.0;189.04;-7.87;2.45;89.6;50.0;3.668;4048;2014-01-30 13:11:37:275
