ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3825,1.9515,8.5122,-104.81,-39.5,8.19,111.31,-12.24,2.53,91.4,50,3.679,40,2014-01-30 13:11:41:932
-0.3334,2.8635,11.1796,-101.69,-33.69,5.44,108.98,-16.33,1.96,91.4,50,3.679,244,2014-01-30 13:11:42:136
-0.3923,1.9417,10.0812,-98.62,-29.75,4.75,107.38,-10.74,1.63,91.4,50,3.679,452,2014-01-30 13:11:42:344
-0.4413,2.0006,8.9044,-96.5,-28.75,6.19,107.74,-11.68,2.84,91.4,50,3.679,652,2014-01-30 13:11:42:544
-0.6472,2.079,11.1011,-94.69,-30.19,8.31,108.72,-10.59,3.34,91.4,50,3.679,852,2014-01-30 13:11:42:744
-0.6374,2.079,10.1989,-92.5,-31.44,10.06,110.18,-11.5,3.58,91.4,50,3.679,1052,2014-01-30 13:11:42:944
-0.559,2.2163,8.3945,-90.06,-31.37,11.38,111.06,-14.76,3.81,91.4,50,3.679,1253,2014-01-30 13:11:43:145
-0.657,2.0692,9.6105,-86.5,-30.37,12.19,111.43,-13.28,4.04,91.4,50,3.679,1457,2014-01-30 13:11:43:349
-0.5982,1.8338,10.7089,-83.87,-30.19,13.31,111.25,-9.08,2.99,91.4,50,3.679,1658,2014-01-30 13:11:43:550
-0.2354,1.824,8.1984,-81.25,-31.81,14.81,113.34,-11.09,1.68,91.4,50,3.679,1858,2014-01-30 13:11:43:750
-0.2354,2.0888,11.5326,-78.81,-35,16.69,115.65,-10.26,1.17,91.4,50,3.679,2059,2014-01-30 13:11:43:951
0.4511,1.216,9.7478,-76.94,-38.06,18.94,116.83,-7.17,-3.6,91.4,50,3.679,2272,2014-01-30 13:11:44:164
0.1863,1.1376,8.7083,-74.37,-39.87,20.75,119.43,-6.55,-1.13,91.4,50,3.679,2480,2014-01-30 13:11:44:372
-0.0981,2.3144,11.0227,-71.62,-40.75,23.5,122.42,-13.28,0.57,91.4,50,3.679,2686,2014-01-30 13:11:44:578
0.0588,2.3144,9.2575,-68.87,-41.94,24.94,123.55,-11.09,-0.52,91.4,50,3.679,2886,2014-01-30 13:11:44:778
0.0098,2.1771,8.9633,-65.25,-46.31,25.75,127.08,-13.85,-0.06,91.4,50,3.679,3103,2014-01-30 13:11:44:995
0.3628,2.1771,11.8857,-63.06,-48.44,25.81,128.58,-11.17,-1.89,91.4,50,3.679,3304,2014-01-30 13:11:45:196
-0.0392,1.6966,10.5323,-61.75,-49.37,24.88,130.34,-10.33,-0.05,91.4,50,3.679,3505,2014-01-30 13:11:45:397
-0.6178,1.6181,7.8845,-60.75,-49.31,24.5,131.7,-10.09,2.91,91.4,50,3.679,3706,2014-01-30 13:11:45:598
-0.3825,1.9515,8.5122,-104.81,-39.5,8.19,111.31,-12.24,2.53,91.4,50,3.679,40,2014-01-30 13:11:41:932
