ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.608,1.3533,7.4923,-58,-39.5,16.88,125.31,-10.79,1.41,86,70,3.978,5,2014-01-31 14:20:35:431
-0.3628,2.4909,13.4155,-56.69,-40.5,15.38,127.28,-12.6,2.51,86,70,3.978,218,2014-01-31 14:20:35:644
0.049,2.589,6.8647,-56.12,-40.94,13.19,127.74,-15.44,0.84,86,70,3.978,422,2014-01-31 14:20:35:848
-0.4119,2.2948,11.8072,-56.44,-40.31,12.38,126.93,-12.63,1.15,86,70,3.978,633,2014-01-31 14:20:36:059
-0.3923,2.5301,8.0022,-56.75,-40.62,11.13,127.96,-12.05,5.32,86,70,3.978,840,2014-01-31 14:20:36:266
-0.2157,2.5301,8.0022,-57.12,-40.81,10.38,126.89,-17.54,1.54,86,70,3.978,1041,2014-01-31 14:20:36:467
0.0392,3.805,12.0033,-57.75,-41.06,10.31,125.88,-16.87,-0.43,86,70,3.978,1242,2014-01-31 14:20:36:668
-0.8728,2.8047,7.8061,-57.75,-40.56,9.13,127.87,-19.25,6.88,86,70,3.978,1443,2014-01-31 14:20:36:869
-0.6669,1.7064,11.5718,-58,-39.94,9.06,125.92,-9.74,3.49,86,70,3.978,1643,2014-01-31 14:20:37:069
-0.7453,1.7554,7.61,-59.06,-40.94,8.38,126.2,-11.35,4.23,86,70,3.978,1844,2014-01-31 14:20:37:270
-0.304,2.8243,10.4147,-60.06,-40.31,7.63,124.85,-15.58,2.77,86,70,3.978,2047,2014-01-31 14:20:37:473
-0.0588,2.6086,10.1989,-60.62,-39.31,6,122.89,-12.83,0.29,86,70,3.978,2255,2014-01-31 14:20:37:681
-0.2452,2.4713,7.6296,-61.81,-35.25,3.81,121.06,-19.58,1.89,86,70,3.978,2456,2014-01-31 14:20:37:882
-0.5394,1.9711,11.6503,-63.25,-33,3.31,119.11,-11.72,1.55,86,70,3.978,2664,2014-01-31 14:20:38:090
0.0098,2.1084,8.826,-65.5,-31.69,3.63,116.74,-14.38,1.63,86,70,3.978,2888,2014-01-31 14:20:38:314
0.9414,2.3536,10.8658,-67.5,-31.44,3.56,114.68,-15.58,-0.43,86,70,3.978,3093,2014-01-31 14:20:38:519
0.608,1.3533,7.4923,-58,-39.5,16.88,125.31,-10.79,1.41,86,70,3.978,5,2014-01-31 14:20:35:431
-0.3628,2.4909,13.4155,-56.69,-40.5,15.38,127.28,-12.6,2.51,86,70,3.978,218,2014-01-31 14:20:35:644
0.049,2.589,6.8647,-56.12,-40.94,13.19,127.74,-15.44,0.84,86,70,3.978,422,2014-01-31 14:20:35:848
-0.4119,2.2948,11.8072,-56.44,-40.31,12.38,126.93,-12.63,1.15,86,70,3.978,633,2014-01-31 14:20:36:059
