ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.7061,2.0986,10.1989,-58.87,-35.75,13.31,122.03,-13.17,1.27,87.8,90,4.2,6,2014-01-19 14:45:17:036
-0.8532,1.9319,9.0221,-58.12,-36.75,12.31,125.87,-15.28,6.73,87.8,90,4.2,206,2014-01-19 14:45:17:236
-0.9807,1.8535,12.0426,-56.19,-38.12,9.69,125.8,-11.69,5.24,87.8,90,4.2,407,2014-01-19 14:45:17:437
-0.8238,1.8927,8.3945,-56.12,-39.44,8.25,125.72,-8.72,4.66,87.8,90,4.2,607,2014-01-19 14:45:17:637
-0.5394,1.9515,10.5912,-56.81,-40.5,8.13,126.89,-12.65,5.6,87.8,90,4.2,808,2014-01-19 14:45:17:838
-0.5394,2.0104,10.9442,-56.87,-40.5,7.31,126.16,-10.43,2.92,87.8,90,4.2,1009,2014-01-19 14:45:18:039
-0.5394,2.5301,8.9044,-56.81,-39.81,6.56,126,-10.4,2.82,87.8,90,4.2,1209,2014-01-19 14:45:18:239
-0.4021,2.4615,9.6497,-57,-39.06,7.06,125.02,-18.18,1.72,87.8,90,4.2,1412,2014-01-19 14:45:18:442
-1.4122,2.383,10.042,-57.37,-39.75,6.25,125.2,-11.71,2,87.8,90,4.2,1620,2014-01-19 14:45:18:650
-0.2354,2.4811,8.316,-57.94,-40.75,6,127.3,-14.69,7.79,87.8,90,4.2,1820,2014-01-19 14:45:18:850
-0.657,2.7164,11.0423,-59.81,-42.06,5.31,125.82,-16.61,1.62,87.8,90,4.2,2024,2014-01-19 14:45:19:054
-0.7453,2.2359,8.4729,-60.37,-42.06,5.06,125.7,-13.8,3.41,87.8,90,4.2,2225,2014-01-19 14:45:19:255
-0.4707,2.2163,10.1205,-61.06,-41,3.63,124.82,-14.73,5.03,87.8,90,4.2,2426,2014-01-19 14:45:19:456
-0.6276,2.2261,11.3855,-61.87,-39.31,3.31,122.49,-12.34,2.66,87.8,90,4.2,2637,2014-01-19 14:45:19:667
-0.0294,2.334,7.2961,-63.19,-39.25,3.06,122.04,-9.89,2.12,87.8,90,4.2,2856,2014-01-19 14:45:19:886
-0.4511,2.4026,11.768,-66.56,-40.94,2.13,121.48,-10.75,1.47,87.8,90,4.2,3080,2014-01-19 14:45:20:110
-0.5982,2.4811,9.0221,-68.06,-40.75,1.06,121.17,-12.92,3.22,87.8,90,4.2,3289,2014-01-19 14:45:20:319
-0.5786,2.5791,9.5713,-69.62,-40.06,-0.37,119.27,-17.72,2.92,87.8,90,4.2,3490,2014-01-19 14:45:20:520
-0.255,3.5696,10.4735,-71.5,-40.12,-1.56,118.47,-17.46,2.58,87.8,90,4.2,3693,2014-01-19 14:45:20:723
-0.255,3.5696,10.4735,-71.5,-40.12,-1.56,118.47,-17.46,2.58,87.8,90,4.2,3693,2014-01-19 14:45:20:723
