sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.5688;2.0594;10.4343;-61.75;-45.5;-4.06;124.56;-12.67;-1.82;86.0;60.0;3.868;7;2014-01-18 12:56:56:145
0.6374;1.9809;10.6696;-61.62;-46.19;-2.19;125.49;-10.71;-4.2;86.0;60.0;3.868;212;2014-01-18 12:56:56:350
0.1863;1.775;8.7671;-63.0;-46.06;-0.62;125.24;-11.72;-1.64;86.0;60.0;3.868;415;2014-01-18 12:56:56:553
0.1863;2.2948;10.1989;-63.44;-45.62;-0.25;125.26;-13.0;-1.21;86.0;60.0;3.868;623;2014-01-18 12:56:56:761
0.6865;2.1967;11.8072;-64.94;-45.44;-0.12;123.98;-10.3;-2.46;86.0;60.0;3.868;828;2014-01-18 12:56:56:966
0.6865;1.7946;8.4729;-66.31;-45.12;0.38;123.35;-10.74;-4.16;86.0;60.0;3.868;1028;2014-01-18 12:56:57:166
0.9316;2.0496;10.1205;-67.62;-46.25;1.0;123.11;-13.64;-4.93;86.0;60.0;3.868;1240;2014-01-18 12:56:57:378
0.814;1.9123;9.8067;-68.44;-46.37;1.5;123.1;-11.4;-5.26;86.0;60.0;3.868;1449;2014-01-18 12:56:57:587
0.3825;1.8437;8.8848;-68.94;-46.37;1.81;122.81;-11.0;-4.74;86.0;60.0;3.868;1658;2014-01-18 12:56:57:796
0.3236;2.1084;9.689;-69.19;-45.87;0.81;122.9;-12.18;-2.1;86.0;60.0;3.868;1869;2014-01-18 12:56:58:007
0.5099;2.2653;12.2191;-69.0;-45.37;0.75;122.29;-12.85;-1.87;86.0;60.0;3.868;2072;2014-01-18 12:56:58:210
0.7453;1.8044;9.2771;-69.44;-45.56;0.0;122.72;-10.63;-4.57;86.0;60.0;3.868;2277;2014-01-18 12:56:58:415
0.6963;2.2261;8.6299;-69.5;-46.31;-0.75;122.09;-13.8;-4.76;86.0;60.0;3.868;2478;2014-01-18 12:56:58:616
0.6963;2.8832;11.8464;-69.37;-48.37;-1.19;122.68;-15.62;-3.6;86.0;60.0;3.868;2678;2014-01-18 12:56:58:816
0.2942;1.4514;9.3752;-69.87;-49.56;-2.12;124.19;-9.96;-2.1;86.0;60.0;3.868;2881;2014-01-18 12:56:59:019
0.049;2.2457;9.3752;-69.87;-50.31;-3.25;124.49;-12.47;-0.33;86.0;60.0;3.868;3081;2014-01-18 12:56:59:219
0.1569;2.2065;12.6702;-70.37;-50.81;-4.06;124.37;-12.8;0.0;86.0;60.0;3.868;3283;2014-01-18 12:56:59:421
0.2942;2.1575;7.7669;-70.37;-50.94;-5.06;124.88;-11.6;-0.84;86.0;60.0;3.868;3488;2014-01-18 12:56:59:626
0.3334;2.5791;8.7279;-70.94;-52.12;-7.06;124.19;-14.21;-2.24;86.0;60.0;3.868;3689;2014-01-18 12:56:59:827
0.2844;3.2852;11.6503;-71.75;-55.5;-8.94;124.04;-18.84;-1.96;86.0;60.0;3.868;3892;2014-01-18 12:57:00:030
-0.1569;2.3928;10.042;-71.75;-56.87;-9.81;126.06;-14.63;-1.09;86.0;60.0;3.868;4093;2014-01-18 12:57:00:231
-0.5394;2.2457;7.9238;-72.75;-59.06;-13.37;126.97;-15.48;2.69;86.0;60.0;3.868;4294;2014-01-18 12:57:00:432
-0.6963;3.2264;11.4149;-73.19;-59.12;-14.56;125.01;-21.34;5.05;86.0;60.0;3.868;4501;2014-01-18 12:57:00:639
-0.3334;2.3144;9.5713;-73.69;-58.56;-17.06;125.63;-14.63;1.92;86.0;60.0;3.868;4701;2014-01-18 12:57:00:839
-0.1569;2.4517;8.5906;-74.56;-57.87;-18.81;124.99;-12.59;0.65;86.0;60.0;3.868;4901;2014-01-18 12:57:01:039
