sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.9218;2.1378;8.7868;-111.56;-45.25;13.75;114.35;-13.6;5.99;87.8;80.0;4.036;15;2014-01-14 22:35:41:508
-0.559;1.5691;11.8857;-107.25;-40.75;12.81;112.03;-7.51;2.69;87.8;80.0;4.036;219;2014-01-14 22:35:41:712
0.0588;2.2849;7.963;-103.06;-38.25;13.0;111.16;-16.01;-0.42;87.8;80.0;4.036;422;2014-01-14 22:35:41:915
-0.049;2.5105;11.1796;-99.37;-38.81;14.0;112.62;-12.66;0.25;87.8;80.0;4.036;630;2014-01-14 22:35:42:123
-0.863;1.4906;11.1109;-95.44;-40.62;14.56;115.44;-11.15;4.35;87.8;80.0;4.036;834;2014-01-14 22:35:42:327
-0.6472;1.471;8.9535;-92.44;-41.0;14.88;115.84;-9.24;4.1;87.8;80.0;4.036;1035;2014-01-14 22:35:42:528
-0.7453;2.6282;10.5127;-88.75;-40.5;15.69;117.1;-15.16;4.76;87.8;80.0;4.036;1238;2014-01-14 22:35:42:731
-0.2746;1.8044;11.3561;-85.62;-39.19;16.06;115.82;-13.03;0.0;87.8;80.0;4.036;1438;2014-01-14 22:35:42:931
0.6276;1.7652;8.6299;-82.69;-39.25;16.94;115.68;-11.53;-4.16;87.8;80.0;4.036;1639;2014-01-14 22:35:43:132
0.1667;2.3242;9.6105;-80.06;-41.25;18.25;118.59;-13.59;-0.99;87.8;80.0;4.036;1839;2014-01-14 22:35:43:332
-1.0591;2.2751;10.9638;-77.62;-43.44;18.69;122.04;-11.67;5.52;87.8;80.0;4.036;2039;2014-01-14 22:35:43:532
-0.9807;1.4318;8.8652;-75.31;-46.25;18.94;124.0;-7.14;6.01;87.8;80.0;4.036;2239;2014-01-14 22:35:43:732
-0.7257;2.7066;8.9437;-72.94;-46.81;18.44;125.96;-14.19;5.16;87.8;80.0;4.036;2440;2014-01-14 22:35:43:933
-0.5884;2.3634;11.6895;-70.75;-46.37;17.69;125.44;-12.78;3.23;87.8;80.0;4.036;2656;2014-01-14 22:35:44:149
0.1569;1.9025;8.5906;-68.12;-45.87;17.69;125.24;-10.49;-1.09;87.8;80.0;4.036;2866;2014-01-14 22:35:44:359
0.1961;1.9123;9.9243;-65.31;-45.62;18.38;126.5;-11.45;-1.23;87.8;80.0;4.036;3073;2014-01-14 22:35:44:566
-1.4906;1.9613;11.4149;-63.25;-46.81;19.38;129.39;-12.81;3.15;87.8;80.0;4.036;3278;2014-01-14 22:35:44:771
-1.2749;1.216;8.9044;-61.0;-47.56;20.31;131.46;-6.57;7.97;87.8;80.0;4.036;3484;2014-01-14 22:35:44:977
-0.8041;2.2751;10.3558;-58.25;-46.44;21.19;132.68;-9.45;8.08;87.8;80.0;4.036;3686;2014-01-14 22:35:45:179
-0.5198;2.4713;11.0227;-56.12;-44.62;21.81;131.05;-12.62;3.11;87.8;80.0;4.036;3900;2014-01-14 22:35:45:393
0.8826;1.4122;8.7868;-52.94;-42.75;23.13;128.16;-7.6;-5.91;87.8;80.0;4.036;4105;2014-01-14 22:35:45:598
0.4021;2.4713;8.1787;-50.5;-41.0;24.38;129.87;-11.62;-5.05;87.8;80.0;4.036;4307;2014-01-14 22:35:45:800
0.049;2.9616;11.1404;-48.81;-40.25;24.88;132.03;-14.88;-1.51;87.8;80.0;4.036;4508;2014-01-14 22:35:46:001
-0.3727;2.0398;8.826;-47.56;-36.5;25.88;131.72;-10.5;1.58;87.8;80.0;4.036;4708;2014-01-14 22:35:46:201
