ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.8041,2.0398,8.3945,29.38,-51.87,-14.06,213.23,-16.4,-6.66,86,100,4.245,22,2014-01-19 13:12:57:427
1.9221,1.5691,12.631,28.69,-52,-13,212.13,-12.97,-8.65,86,100,4.245,222,2014-01-19 13:12:57:627
1.1376,2.1967,7.7276,28.63,-53.12,-11.75,211.51,-13.83,-8.21,86,100,4.245,429,2014-01-19 13:12:57:834
2.1967,2.0006,13.2978,27.88,-53.06,-10.31,209.44,-8.56,-7.38,86,100,4.245,629,2014-01-19 13:12:58:034
1.2749,2.3536,9.4928,27.44,-52,-9.75,208.71,-6.73,-5.29,86,100,4.245,830,2014-01-19 13:12:58:235
1.0297,2.2849,8.6102,26.69,-49.25,-7.62,211.07,-15.12,-6.99,86,100,4.245,1037,2014-01-19 13:12:58:442
1.8437,0.4707,12.5525,26.38,-49.06,-7.19,209.87,-14.76,-6.82,86,100,4.245,1250,2014-01-19 13:12:58:655
0.8532,1.1376,7.61,25.94,-50.12,-6.06,208.67,-11.44,-9.95,86,100,4.245,1459,2014-01-19 13:12:58:864
2.0006,1.726,12.8663,25.5,-52.25,-5.19,206.52,-9.62,-6.2,86,100,4.245,1673,2014-01-19 13:12:59:078
1.5298,1.7652,9.1006,25,-52.44,-5.56,206.55,-7.46,-8.99,86,100,4.245,1873,2014-01-19 13:12:59:278
0.7453,1.5298,7.963,25.13,-50.87,-5.25,207.22,-12.23,-6.3,86,100,4.245,2077,2014-01-19 13:12:59:482
1.2553,2.1378,12.8271,25.31,-50.5,-5.31,207.95,-14.41,-6.39,86,100,4.245,2277,2014-01-19 13:12:59:682
2.1182,1.5691,13.337,24.5,-50.62,-5,207.05,-3.75,-6.26,86,100,4.245,2478,2014-01-19 13:12:59:883
0.8238,1.726,6.747,24,-51.25,-4.69,206.53,-14.25,-6.96,86,100,4.245,2737,2014-01-19 13:13:00:142
1.9025,2.6674,10.905,23,-52.06,-6.19,204.67,-5.85,-8.89,86,100,4.245,2938,2014-01-19 13:13:00:343
1.2062,1.8044,8.1199,22.31,-51.56,-6.5,204.38,-13.35,-9.99,86,100,4.245,3144,2014-01-19 13:13:00:549
1.2062,2.893,11.7288,21.69,-50.25,-6.37,205.47,-15.32,-6.45,86,100,4.245,3353,2014-01-19 13:13:00:758
1.0983,1.8829,12.7094,20.38,-49.06,-6.19,202.8,-3.45,-5.05,86,100,4.245,3554,2014-01-19 13:13:00:959
0.8041,2.0398,8.3945,29.38,-51.87,-14.06,213.23,-16.4,-6.66,86,100,4.245,22,2014-01-19 13:12:57:427
1.9221,1.5691,12.631,28.69,-52,-13,212.13,-12.97,-8.65,86,100,4.245,222,2014-01-19 13:12:57:627
1.1376,2.1967,7.7276,28.63,-53.12,-11.75,211.51,-13.83,-8.21,86,100,4.245,429,2014-01-19 13:12:57:834
2.1967,2.0006,13.2978,27.88,-53.06,-10.31,209.44,-8.56,-7.38,86,100,4.245,629,2014-01-19 13:12:58:034
