sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0981;2.6674;11.2188;-59.31;-33.56;4.38;119.95;-12.45;-0.28;87.8;100.0;4.239;8;2014-01-30 21:39:04:987
0.3825;2.1771;9.0123;-59.12;-31.5;3.38;117.37;-13.94;-0.96;87.8;100.0;4.239;210;2014-01-30 21:39:05:189
0.4707;1.7554;11.1011;-59.81;-30.81;3.44;116.94;-9.24;-6.83;87.8;100.0;4.239;411;2014-01-30 21:39:05:390
-0.7061;2.9028;9.4536;-60.62;-31.12;3.5;118.05;-18.04;4.2;87.8;100.0;4.239;612;2014-01-30 21:39:05:591
-0.1863;1.6083;9.6105;-60.94;-30.87;3.63;117.31;-10.37;1.25;87.8;100.0;4.239;813;2014-01-30 21:39:05:792
0.5884;2.0986;10.9638;-61.94;-30.81;3.31;116.12;-10.42;-3.01;87.8;100.0;4.239;1013;2014-01-30 21:39:05:992
-0.0686;1.8633;9.4928;-62.5;-31.12;3.31;116.68;-11.19;0.69;87.8;100.0;4.239;1213;2014-01-30 21:39:06:192
0.6374;1.6573;10.395;-63.37;-31.44;3.88;115.71;-10.05;-4.33;87.8;100.0;4.239;1413;2014-01-30 21:39:06:392
0.7453;1.9319;10.5225;-64.06;-32.06;3.94;116.65;-9.27;-0.48;87.8;100.0;4.239;1620;2014-01-30 21:39:06:599
0.1569;2.0692;8.1984;-64.31;-32.31;4.38;116.46;-12.32;-0.97;87.8;100.0;4.239;1831;2014-01-30 21:39:06:810
0.1569;2.0006;11.4934;-65.5;-32.44;3.63;116.2;-10.68;-0.86;87.8;100.0;4.239;2036;2014-01-30 21:39:07:015
0.8336;2.128;9.6105;-65.69;-33.06;3.38;116.13;-11.04;-4.91;87.8;100.0;4.239;2236;2014-01-30 21:39:07:215
0.9414;1.824;8.9437;-66.25;-34.06;4.06;115.69;-11.46;-5.91;87.8;100.0;4.239;2439;2014-01-30 21:39:07:418
0.9807;2.079;10.905;-66.19;-35.0;5.0;117.11;-11.78;-5.29;87.8;100.0;4.239;2639;2014-01-30 21:39:07:618
1.1768;1.6867;9.7282;-66.75;-35.12;5.25;117.9;-13.0;-0.96;87.8;100.0;4.239;2840;2014-01-30 21:39:07:819
0.3727;1.8927;9.081;-67.37;-34.5;4.06;117.29;-12.46;-2.41;87.8;100.0;4.239;3040;2014-01-30 21:39:08:019
0.4217;2.5693;10.552;-68.5;-33.69;2.38;116.12;-11.84;-2.13;87.8;100.0;4.239;3247;2014-01-30 21:39:08:226
0.6669;1.726;8.826;-70.94;-32.81;0.31;114.53;-10.04;-3.52;87.8;100.0;4.239;3457;2014-01-30 21:39:08:436
0.912;2.2065;9.5713;-71.94;-32.44;-0.44;112.6;-11.51;-6.26;87.8;100.0;4.239;3662;2014-01-30 21:39:08:641
1.0787;2.0398;11.1011;-74.31;-32.25;-1.0;112.0;-11.46;-5.69;87.8;100.0;4.239;3862;2014-01-30 21:39:08:841
0.7845;1.7358;9.6105;-77.81;-33.0;-2.06;111.31;-10.32;-5.4;87.8;100.0;4.239;4062;2014-01-30 21:39:09:041
