sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.1177;2.3438;8.7083;16.94;-39.5;1.44;204.2;-15.06;0.77;86.0;60.0;3.868;11;2014-01-18 12:56:46:275
0.0785;2.638;11.258;18.06;-42.31;2.0;203.78;-15.71;0.72;86.0;60.0;3.868;212;2014-01-18 12:56:46:476
0.3334;2.2751;9.7674;18.31;-44.81;1.69;202.0;-12.17;-0.83;86.0;60.0;3.868;425;2014-01-18 12:56:46:689
0.3334;2.2948;7.9238;18.06;-46.44;2.5;201.49;-14.99;-2.18;86.0;60.0;3.868;625;2014-01-18 12:56:46:889
0.3334;2.2359;9.8459;18.56;-47.06;2.63;202.05;-12.79;-1.94;86.0;60.0;3.868;830;2014-01-18 12:56:47:094
0.1961;1.6867;12.121;18.56;-46.87;2.81;201.95;-7.92;-0.93;86.0;60.0;3.868;1031;2014-01-18 12:56:47:295
-0.0686;1.9417;8.316;19.06;-47.19;3.75;202.2;-13.14;0.47;86.0;60.0;3.868;1236;2014-01-18 12:56:47:500
0.0392;2.2359;12.0426;20.31;-47.56;4.5;202.55;-10.52;-0.19;86.0;60.0;3.868;1437;2014-01-18 12:56:47:701
0.3727;2.0692;10.3166;21.19;-48.44;4.44;203.52;-10.94;-1.51;86.0;60.0;3.868;1637;2014-01-18 12:56:47:901
0.4315;1.8927;8.1199;22.06;-48.37;4.44;204.42;-13.1;-3.04;86.0;60.0;3.868;1837;2014-01-18 12:56:48:101
0.4315;2.2653;10.65;23.06;-47.62;4.0;205.39;-10.79;-2.37;86.0;60.0;3.868;2040;2014-01-18 12:56:48:304
0.0098;2.03;9.6497;23.88;-47.44;3.88;207.1;-11.06;-0.05;86.0;60.0;3.868;2250;2014-01-18 12:56:48:514
-0.4119;2.03;8.9437;24.5;-47.25;5.5;208.31;-13.71;2.36;86.0;60.0;3.868;2451;2014-01-18 12:56:48:715
-0.5982;2.3438;10.1205;25.06;-47.87;7.31;207.85;-13.02;3.38;86.0;60.0;3.868;2651;2014-01-18 12:56:48:915
-0.4119;2.0986;10.5127;25.75;-48.87;8.63;207.96;-11.28;2.24;86.0;60.0;3.868;2854;2014-01-18 12:56:49:118
-0.0588;2.0986;8.3945;26.25;-49.31;9.88;207.64;-12.64;0.84;86.0;60.0;3.868;3057;2014-01-18 12:56:49:321
-0.0098;2.8635;9.2967;27.13;-48.94;9.94;208.4;-14.0;0.07;86.0;60.0;3.868;3259;2014-01-18 12:56:49:523
-0.1079;2.2751;11.7091;28.63;-48.69;9.75;210.03;-14.22;-0.49;86.0;60.0;3.868;3459;2014-01-18 12:56:49:723
-0.4903;1.8927;8.2376;29.88;-48.75;9.88;211.51;-11.22;2.94;86.0;60.0;3.868;3659;2014-01-18 12:56:49:923
-0.7355;2.5301;9.1398;30.5;-49.62;10.75;211.98;-16.2;3.3;86.0;60.0;3.868;3867;2014-01-18 12:56:50:131
-0.8336;2.6576;12.3956;31.0;-51.69;13.5;211.38;-11.12;3.84;86.0;60.0;3.868;4083;2014-01-18 12:56:50:347
-0.6767;2.0496;8.2376;31.0;-52.25;14.31;210.91;-12.07;4.07;86.0;60.0;3.868;4284;2014-01-18 12:56:50:548
