sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.1569;4.717;9.8067;8.19;-85.75;19.94;185.18;-28.2;-0.78;86.0;50.0;3.766;156;2014-01-15 20:34:26:321
-1.2062;5.9428;8.9339;9.5;-85.69;19.56;186.18;-25.68;0.92;86.0;50.0;3.766;372;2014-01-15 20:34:26:537
-0.6669;4.3934;7.3354;10.63;-86.12;18.56;188.45;-29.4;7.54;86.0;50.0;3.766;573;2014-01-15 20:34:26:738
-0.4217;5.021;8.9829;11.5;-85.94;17.81;188.99;-31.3;3.4;86.0;50.0;3.766;778;2014-01-15 20:34:26:943
-0.9611;5.021;9.2183;11.75;-85.69;16.63;189.21;-24.34;6.16;86.0;50.0;3.766;978;2014-01-15 20:34:27:143
-0.8924;4.0011;8.1591;12.13;-85.31;14.81;189.35;-25.99;6.24;86.0;50.0;3.766;1187;2014-01-15 20:34:27:352
-0.7649;4.5895;8.7475;12.13;-84.75;14.44;189.52;-28.27;6.7;86.0;50.0;3.766;1388;2014-01-15 20:34:27:553
-1.7652;5.0406;10.7481;11.69;-83.5;13.06;189.34;-25.51;5.84;86.0;50.0;3.766;1588;2014-01-15 20:34:27:753
-1.5004;4.2365;8.9437;10.19;-83.19;11.5;188.48;-25.04;9.52;86.0;50.0;3.766;1788;2014-01-15 20:34:27:953
-0.814;4.668;9.2967;9.94;-82.87;10.81;188.18;-29.34;6.01;86.0;50.0;3.766;1988;2014-01-15 20:34:28:153
-0.5198;4.1874;10.8462;9.75;-82.81;10.13;187.43;-22.63;2.76;86.0;50.0;3.766;2188;2014-01-15 20:34:28:353
-0.4511;3.4127;8.1003;9.75;-82.0;9.5;187.59;-21.86;3.54;86.0;50.0;3.766;2400;2014-01-15 20:34:28:565
