ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0785,2.2948,8.3945,17.5,-50.25,27.81,193.77,-12.6,-4.95,86,70,3.978,32,2014-01-31 14:20:27:456
-1.2945,1.8731,12.0426,17.88,-50.81,27.75,197.39,-15.29,-0.54,86,70,3.978,235,2014-01-31 14:20:27:659
-0.1373,2.0398,8.9437,20.13,-54.44,28.19,201.23,-8.79,6.14,86,70,3.978,436,2014-01-31 14:20:27:860
-0.1765,2.1967,7.8453,21.81,-56.94,29.19,199.38,-12.85,0.88,86,70,3.978,636,2014-01-31 14:20:28:060
0.0883,2.0006,10.8658,24,-58.19,28.56,200.32,-12.65,0.58,86,70,3.978,837,2014-01-31 14:20:28:261
0.255,2.1084,10.1597,27.19,-58.12,28.75,202.69,-11.72,-1.44,86,70,3.978,1037,2014-01-31 14:20:28:461
0.4609,2.1673,8.5122,30.31,-57.62,28.31,204.2,-12.99,-3.19,86,70,3.978,1237,2014-01-31 14:20:28:661
-0.6276,2.2065,10.5912,33.81,-57.25,27.06,205.46,-14.11,-4.24,86,70,3.978,1438,2014-01-31 14:20:28:862
0.0392,2.9322,9.4928,37,-58.5,26.88,211.66,-11.75,3.39,86,70,3.978,1640,2014-01-31 14:20:29:064
-0.1177,2.9322,8.2572,39.25,-59.87,26.38,210.47,-17.16,-0.24,86,70,3.978,1840,2014-01-31 14:20:29:264
0.1177,3.5304,11.1796,41,-60.06,25.88,212.46,-19.55,0.82,86,70,3.978,2040,2014-01-31 14:20:29:464
0.7649,2.5399,9.5713,45.38,-61.81,25.38,213.93,-12.3,-0.59,86,70,3.978,2240,2014-01-31 14:20:29:664
0.3432,2.7164,7.8257,48.5,-62.44,24.44,215.51,-19.13,-2.51,86,70,3.978,2445,2014-01-31 14:20:29:869
-0.9807,2.7164,13.847,52.31,-64.06,24.31,216.47,-14.42,-2.93,86,70,3.978,2645,2014-01-31 14:20:30:069
0.5099,2.5301,6.9431,55.25,-68.06,24.19,219.35,-11.07,4.05,86,70,3.978,2848,2014-01-31 14:20:30:272
0.4021,2.5791,11.4542,58.44,-70,23.69,216.5,-19.97,-4.2,86,70,3.978,3056,2014-01-31 14:20:30:480
0.3236,2.5105,10.9442,62.88,-69.19,23,218.61,-12.68,-2.01,86,70,3.978,3256,2014-01-31 14:20:30:680
0.0785,2.2948,8.3945,17.5,-50.25,27.81,193.77,-12.6,-4.95,86,70,3.978,32,2014-01-31 14:20:27:456
-1.2945,1.8731,12.0426,17.88,-50.81,27.75,197.39,-15.29,-0.54,86,70,3.978,235,2014-01-31 14:20:27:659
-0.1373,2.0398,8.9437,20.13,-54.44,28.19,201.23,-8.79,6.14,86,70,3.978,436,2014-01-31 14:20:27:860
-0.1765,2.1967,7.8453,21.81,-56.94,29.19,199.38,-12.85,0.88,86,70,3.978,636,2014-01-31 14:20:28:060
