ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1275,2.5497,10.905,-110.12,-45.56,1,112.32,-14.77,0.83,86,60,3.868,11,2014-01-18 12:57:14:491
0.353,2.4615,8.316,-105.81,-42.75,2.56,111.31,-14.48,-2.18,86,60,3.868,248,2014-01-18 12:57:14:728
0.353,2.8733,10.4735,-99.69,-44.25,10,112.92,-16.47,-2.43,86,60,3.868,448,2014-01-18 12:57:14:928
0.2942,2.1575,9.9636,-95.69,-46.31,13.75,114.92,-15.33,-1.93,86,60,3.868,649,2014-01-18 12:57:15:129
0.0883,2.2261,8.7279,-92.19,-47.31,16.19,117.2,-12.21,-1.69,86,60,3.868,853,2014-01-18 12:57:15:333
-0.0981,2.4909,10.0028,-88.94,-46.94,16.94,118.77,-14.31,-0.58,86,60,3.868,1059,2014-01-18 12:57:15:539
0.1765,2.6968,9.3752,-85.12,-45.56,18.38,119.74,-16.05,-1.08,86,60,3.868,1277,2014-01-18 12:57:15:757
0.2452,2.6674,8.4729,-82.69,-45.56,19.13,120.33,-15.73,-1.51,86,60,3.868,1486,2014-01-18 12:57:15:966
0.3236,3.0891,9.9636,-80.56,-46.12,19.88,120.96,-18.46,-2.15,86,60,3.868,1687,2014-01-18 12:57:16:167
0.1177,2.2751,9.4536,-77.37,-46.69,20.44,122.95,-15.65,-1.27,86,60,3.868,1889,2014-01-18 12:57:16:369
-0.7453,2.589,9.4144,-74.94,-47,20.13,125.48,-15.33,4.53,86,60,3.868,2089,2014-01-18 12:57:16:569
-0.6865,2.7459,8.4926,-72.81,-46.5,19.5,126,-17.86,4.62,86,60,3.868,2293,2014-01-18 12:57:16:773
-0.4707,2.8243,11.16,-71.12,-46.25,18.69,125.48,-14.19,2.42,86,60,3.868,2493,2014-01-18 12:57:16:973
-0.0098,2.5399,9.3359,-69.19,-46.12,18.63,126.06,-14.93,1.6,86,60,3.868,2697,2014-01-18 12:57:17:177
-0.0098,2.5399,8.2964,-66.75,-47.06,19,126.94,-15.22,0.06,86,60,3.868,2900,2014-01-18 12:57:17:380
-0.0098,3.6873,11.6895,-64.81,-48,19.69,128.66,-20.53,0.06,86,60,3.868,3100,2014-01-18 12:57:17:580
-0.2256,2.2359,8.9044,-62.69,-48.94,20.63,129.74,-11.59,0.31,86,60,3.868,3320,2014-01-18 12:57:17:800
-1.1572,2.8047,8.9044,-61.75,-48.75,20.88,133.01,-17.48,6.68,86,60,3.868,3536,2014-01-18 12:57:18:016
-0.2256,2.2359,8.9044,-62.69,-48.94,20.63,129.74,-11.59,0.31,86,60,3.868,3320,2014-01-18 12:57:17:800
-1.1572,2.8047,8.9044,-61.75,-48.75,20.88,133.01,-17.48,6.68,86,60,3.868,3536,2014-01-18 12:57:18:016
