sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.3141;2.7262;9.6792;19.13;-52.81;8.44;198.77;-14.07;-6.47;87.8;100.0;4.239;22;2014-01-30 21:38:55:854
0.4315;2.1673;11.5326;18.81;-53.81;8.06;198.24;-15.59;-7.73;87.8;100.0;4.239;222;2014-01-30 21:38:56:054
0.1765;1.775;9.179;19.06;-54.5;8.69;198.87;-10.64;-2.14;87.8;100.0;4.239;423;2014-01-30 21:38:56:255
-0.8238;1.8338;9.5909;19.06;-55.31;9.06;198.65;-10.94;-1.1;87.8;100.0;4.239;623;2014-01-30 21:38:56:455
-0.4609;2.3438;9.385;19.38;-56.31;10.06;199.28;-10.79;4.91;87.8;100.0;4.239;824;2014-01-30 21:38:56:656
0.1275;2.5595;11.6111;19.56;-56.31;10.75;199.91;-14.01;2.81;87.8;100.0;4.239;1024;2014-01-30 21:38:56:856
0.353;2.2359;8.4729;19.75;-56.0;10.75;199.19;-12.43;-0.63;87.8;100.0;4.239;1224;2014-01-30 21:38:57:056
0.3923;2.7361;9.4536;20.69;-55.19;10.19;198.97;-14.77;-2.39;87.8;100.0;4.239;1426;2014-01-30 21:38:57:258
0.1471;2.9224;12.4937;20.69;-54.87;9.88;200.22;-16.13;-2.38;87.8;100.0;4.239;1633;2014-01-30 21:38:57:465
-0.0686;2.893;8.826;21.31;-54.62;10.56;200.49;-13.16;-0.67;87.8;100.0;4.239;1834;2014-01-30 21:38:57:666
-0.1079;2.5693;8.2866;21.94;-55.87;11.13;201.65;-18.15;0.45;87.8;100.0;4.239;2034;2014-01-30 21:38:57:866
-0.0883;2.7557;10.042;21.44;-56.62;12.44;201.31;-17.11;1.01;87.8;100.0;4.239;2234;2014-01-30 21:38:58:066
0.0098;2.7262;10.395;21.56;-57.81;12.75;200.75;-15.34;0.5;87.8;100.0;4.239;2435;2014-01-30 21:38:58:267
0.1569;2.4222;8.6102;22.0;-59.12;12.69;200.31;-14.7;-0.05;87.8;100.0;4.239;2636;2014-01-30 21:38:58:468
0.0588;2.383;11.1011;22.69;-59.31;12.31;200.64;-15.71;-1.04;87.8;100.0;4.239;2836;2014-01-30 21:38:58:668
-0.0098;2.8635;11.258;23.38;-60.0;11.94;200.54;-12.12;-0.3;87.8;100.0;4.239;3051;2014-01-30 21:38:58:883
-0.3334;1.6867;8.3553;24.19;-62.06;13.56;201.17;-11.4;2.29;87.8;100.0;4.239;3280;2014-01-30 21:38:59:112
-0.5001;2.6772;10.1205;24.06;-63.69;14.69;200.89;-15.17;3.67;87.8;100.0;4.239;3485;2014-01-30 21:38:59:317
0.0981;2.4124;10.1989;24.81;-65.12;15.81;200.36;-13.7;-0.51;87.8;100.0;4.239;3685;2014-01-30 21:38:59:517
0.4511;2.0692;8.7671;25.75;-66.25;15.69;200.71;-13.19;-1.02;87.8;100.0;4.239;3889;2014-01-30 21:38:59:721
0.4903;2.5693;11.4149;26.56;-65.87;15.31;201.14;-14.72;-2.64;87.8;100.0;4.239;4091;2014-01-30 21:38:59:923
-0.2746;2.1378;12.0426;27.69;-65.87;14.81;202.77;-10.06;1.31;87.8;100.0;4.239;4291;2014-01-30 21:39:00:123
-0.0196;1.7652;8.6397;28.44;-66.44;14.69;202.51;-11.55;0.13;87.8;100.0;4.239;4491;2014-01-30 21:39:00:323
