ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.7845,2.8047,8.1689,26.94,-73.75,-7.19,201.66,-20.61,5.86,87.8,90,4.2,15,2014-01-19 14:45:25:360
-1.3827,2.5203,11.8464,24.06,-73.87,-1.69,199.18,-13.57,5.77,87.8,90,4.2,216,2014-01-19 14:45:25:561
-0.814,1.9908,8.9437,23.31,-72.94,0.44,197.79,-10.7,6.28,87.8,90,4.2,420,2014-01-19 14:45:25:765
-1.3729,2.3928,10.4735,22.81,-72.19,2.69,198.37,-14.4,8.33,87.8,90,4.2,620,2014-01-19 14:45:25:965
-0.559,2.432,10.4343,21.81,-73.19,4.94,197.17,-11.81,4.08,87.8,90,4.2,826,2014-01-19 14:45:26:171
-0.3138,2.687,8.5808,21.19,-73.81,6.25,196.44,-17.78,2.15,87.8,90,4.2,1027,2014-01-19 14:45:26:372
-0.9414,2.1869,11.0227,21.13,-73.94,7.25,196.34,-12.39,4.9,87.8,90,4.2,1228,2014-01-19 14:45:26:573
-0.7845,2.0398,7.5119,20.88,-74,7.69,196.45,-11.86,6.05,87.8,90,4.2,1429,2014-01-19 14:45:26:774
-1.0591,2.0496,10.8462,21.44,-72.12,7.38,197,-14.72,6.09,87.8,90,4.2,1631,2014-01-19 14:45:26:976
-1.0591,2.0888,10.8462,20.88,-72.19,7,196.76,-10.85,5.58,87.8,90,4.2,1831,2014-01-19 14:45:27:176
-0.863,2.1869,8.3553,20.38,-73.06,6.94,196.06,-14.12,7,87.8,90,4.2,2032,2014-01-19 14:45:27:377
-1.0297,1.7652,11.768,19.5,-74.31,5,195.51,-10.31,5.14,87.8,90,4.2,2232,2014-01-19 14:45:27:577
-0.1961,1.9809,8.4337,19.69,-74.5,4.63,195.64,-12.11,6.16,87.8,90,4.2,2433,2014-01-19 14:45:27:778
-1.0199,2.2751,10.042,20,-73.94,3.31,195.75,-14.88,6.84,87.8,90,4.2,2634,2014-01-19 14:45:27:979
-0.7257,2.0594,11.5326,19.69,-74.56,2.06,195.45,-11.33,3.66,87.8,90,4.2,2847,2014-01-19 14:45:28:192
-0.7159,2.2653,8.1984,19.75,-75,1.31,195.4,-13.59,4.76,87.8,90,4.2,3047,2014-01-19 14:45:28:392
-0.7845,2.8047,8.1689,26.94,-73.75,-7.19,201.66,-20.61,5.86,87.8,90,4.2,15,2014-01-19 14:45:25:360
-1.3827,2.5203,11.8464,24.06,-73.87,-1.69,199.18,-13.57,5.77,87.8,90,4.2,216,2014-01-19 14:45:25:561
-0.814,1.9908,8.9437,23.31,-72.94,0.44,197.79,-10.7,6.28,87.8,90,4.2,420,2014-01-19 14:45:25:765
-1.3729,2.3928,10.4735,22.81,-72.19,2.69,198.37,-14.4,8.33,87.8,90,4.2,620,2014-01-19 14:45:25:965
