sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0;1.3533;8.5318;-61.0;-31.69;1.25;119.36;-8.96;6.43;89.6;50.0;3.668;4;2014-01-30 13:11:24:947
-0.4805;2.2751;10.4343;-61.5;-31.19;-0.37;116.88;-10.0;1.1;89.6;50.0;3.668;204;2014-01-30 13:11:25:147
-0.4805;1.6769;9.6203;-62.56;-31.87;-0.62;116.29;-10.1;1.51;89.6;50.0;3.668;405;2014-01-30 13:11:25:348
-0.4805;1.7358;9.7282;-62.81;-32.69;-0.5;117.71;-9.77;2.83;89.6;50.0;3.668;605;2014-01-30 13:11:25:548
-1.5298;1.5298;10.9246;-64.37;-36.12;-0.25;119.49;-7.77;7.85;89.6;50.0;3.668;810;2014-01-30 13:11:25:753
-1.4416;1.3533;9.0613;-65.19;-37.12;-0.62;120.4;-8.41;8.28;89.6;50.0;3.668;1012;2014-01-30 13:11:25:955
-1.1474;1.2749;9.2967;-65.31;-35.87;-1.06;120.44;-8.66;8.42;89.6;50.0;3.668;1213;2014-01-30 13:11:26:156
-0.3138;1.1768;11.2188;-64.94;-34.37;-2.0;118.57;-6.84;5.92;89.6;50.0;3.668;1414;2014-01-30 13:11:26:357
-0.5688;1.4416;9.2967;-65.06;-34.0;-1.81;117.54;-7.68;3.16;89.6;50.0;3.668;1615;2014-01-30 13:11:26:558
-0.5492;1.3925;10.3558;-65.37;-34.19;-1.37;117.51;-8.67;3.2;89.6;50.0;3.668;1815;2014-01-30 13:11:26:758
-0.912;1.3827;11.6209;-65.06;-34.75;-1.62;118.4;-6.49;4.46;89.6;50.0;3.668;2015;2014-01-30 13:11:26:958
-0.608;1.3337;9.0613;-65.62;-35.87;-0.56;118.53;-7.75;2.15;89.6;50.0;3.668;2217;2014-01-30 13:11:27:160
-0.608;1.5985;9.9243;-66.5;-36.0;-0.25;118.83;-8.72;3.84;89.6;50.0;3.668;2418;2014-01-30 13:11:27:361
-0.1667;1.8535;9.6497;-66.94;-35.62;-0.37;118.22;-9.5;2.18;89.6;50.0;3.668;2630;2014-01-30 13:11:27:573
-0.255;1.3925;8.8064;-67.62;-35.81;0.06;117.62;-10.87;0.99;89.6;50.0;3.668;2840;2014-01-30 13:11:27:783
-0.4805;1.5593;11.4149;-68.25;-36.75;-0.81;118.35;-8.98;1.66;89.6;50.0;3.668;3040;2014-01-30 13:11:27:983
-0.7453;2.2359;11.5326;-69.44;-37.12;-1.56;118.1;-10.36;3.68;89.6;50.0;3.668;3250;2014-01-30 13:11:28:193
-0.3825;1.8142;8.6887;-72.06;-36.75;-3.62;116.83;-11.56;1.14;89.6;50.0;3.668;3458;2014-01-30 13:11:28:401
-0.6178;2.9028;9.5321;-73.81;-35.62;-5.69;115.72;-11.89;3.98;89.6;50.0;3.668;3659;2014-01-30 13:11:28:602
-0.3138;2.1182;10.8265;-75.87;-34.69;-7.87;113.22;-16.9;2.14;89.6;50.0;3.668;3860;2014-01-30 13:11:28:803
-0.1275;1.9613;8.6691;-78.19;-35.37;-9.19;112.88;-11.91;0.48;89.6;50.0;3.668;4060;2014-01-30 13:11:29:003
-0.1863;2.2751;11.0227;-80.19;-37.62;-10.37;112.67;-12.74;0.38;89.6;50.0;3.668;4260;2014-01-30 13:11:29:203
-0.3432;2.2359;11.3365;-81.56;-39.5;-11.5;113.52;-11.62;1.17;89.6;50.0;3.668;4460;2014-01-30 13:11:29:403
