ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.5198,2.6674,8.826,41.44,0.5,34.31,258.92,-13.3,-4.2,86,90,4.191,126,2014-02-01 22:21:40:705
0,2.942,10.7481,42.63,0.06,34,258.81,-13.37,-2.21,86,90,4.191,333,2014-02-01 22:21:40:912
0.2157,2.2359,8.0415,46,-2.5,35.56,257.22,-15.31,0,86,90,4.191,539,2014-02-01 22:21:41:118
-0.0196,1.8437,11.4738,49,-3.37,37,254.06,-15.53,-1.54,86,90,4.191,752,2014-02-01 22:21:41:331
0.5001,1.8535,8.7868,53.31,-4.12,37.25,261.49,-7.35,0.36,86,90,4.191,965,2014-02-01 22:21:41:544
-0.4315,2.6674,9.2967,57.38,-4.25,37.13,253.92,-15.26,-2.93,86,90,4.191,1173,2014-02-01 22:21:41:752
0.6276,2.2948,7.1,61.25,-3.69,37.56,261.52,-13.1,7.1,86,90,4.191,1395,2014-02-01 22:21:41:974
-0.3138,3.295,9.5811,67.06,-7.5,38.31,255.02,-18.97,1.88,86,90,4.191,1602,2014-02-01 22:21:42:181
0.3628,2.7851,8.826,71.63,-9.12,38.81,253.23,-17.5,-2.35,86,90,4.191,1809,2014-02-01 22:21:42:388
-0.7159,3.3539,10.042,76.94,-12.44,39.13,254.58,-18.42,4.08,86,90,4.191,2015,2014-02-01 22:21:42:594
-0.608,2.1869,8.6691,83.31,-14.75,39.06,255.18,-14.12,4.01,86,90,4.191,2238,2014-02-01 22:21:42:817
-0.9022,2.5301,10.1597,89.13,-17.31,39.75,255.29,-13.93,5.07,86,90,4.191,2439,2014-02-01 22:21:43:018
-0.9414,2.2751,11.3757,94.75,-20,39.31,255.3,-11.27,4.73,86,90,4.191,2639,2014-02-01 22:21:43:218
0.5198,2.6674,8.826,41.44,0.5,34.31,258.92,-13.3,-4.2,86,90,4.191,126,2014-02-01 22:21:40:705
0,2.942,10.7481,42.63,0.06,34,258.81,-13.37,-2.21,86,90,4.191,333,2014-02-01 22:21:40:912
0.2157,2.2359,8.0415,46,-2.5,35.56,257.22,-15.31,0,86,90,4.191,539,2014-02-01 22:21:41:118
-0.0196,1.8437,11.4738,49,-3.37,37,254.06,-15.53,-1.54,86,90,4.191,752,2014-02-01 22:21:41:331
0.5001,1.8535,8.7868,53.31,-4.12,37.25,261.49,-7.35,0.36,86,90,4.191,965,2014-02-01 22:21:41:544
-0.4315,2.6674,9.2967,57.38,-4.25,37.13,253.92,-15.26,-2.93,86,90,4.191,1173,2014-02-01 22:21:41:752
0.6276,2.2948,7.1,61.25,-3.69,37.56,261.52,-13.1,7.1,86,90,4.191,1395,2014-02-01 22:21:41:974
