ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.5296,2.383,8.8652,-71.62,-51.75,13.81,125.83,-17.03,-3.54,86,100,4.245,8,2014-01-19 13:13:06:430
1.0983,1.4514,12.5035,-69.69,-52,14.44,125.67,-10.38,-8.03,86,100,4.245,208,2014-01-19 13:13:06:630
1.0983,1.9221,6.7862,-68.31,-52.81,15.25,125.92,-10.78,-11.99,86,100,4.245,408,2014-01-19 13:13:06:830
0.9022,1.0983,12.984,-67.44,-53.25,15.06,127.12,-14.31,-8.38,86,100,4.245,609,2014-01-19 13:13:07:031
1.0101,1.471,10.395,-67.06,-53.44,14.25,128.82,-6.21,-4.68,86,100,4.245,816,2014-01-19 13:13:07:238
0.7845,2.4517,9.5713,-67.37,-52.87,12.63,127.68,-13.78,-7.47,86,100,4.245,1031,2014-01-19 13:13:07:453
0.9807,1.2945,11.0227,-66.87,-52.69,11.81,128.07,-11.69,-5.14,86,100,4.245,1246,2014-01-19 13:13:07:668
0.9512,1.8829,7.7276,-66.44,-52.94,12.25,128.61,-6.67,-5.08,86,100,4.245,1446,2014-01-19 13:13:07:868
0.8924,1.8437,8.3553,-65.94,-52.31,12.13,127.77,-12.38,-6.1,86,100,4.245,1649,2014-01-19 13:13:08:071
0.8826,1.7652,12.5133,-65.5,-51.87,11.75,128.17,-5.63,-4.29,86,100,4.245,1850,2014-01-19 13:13:08:272
0.5198,1.7162,8.0807,-65.56,-50.87,11.25,127.56,-9.39,-4.49,86,100,4.245,2051,2014-01-19 13:13:08:473
0.7257,1.3043,11.6895,-65.37,-51.12,11,128.14,-7.77,-3.55,86,100,4.245,2251,2014-01-19 13:13:08:673
0.6963,1.5396,7.8453,-64.06,-53,11.31,128.59,-8.19,-4.1,86,100,4.245,2451,2014-01-19 13:13:08:873
1.0493,2.1378,10.2381,-62.81,-54.31,12,129.46,-15.11,-5.88,86,100,4.245,2664,2014-01-19 13:13:09:086
1.2454,1.52,10.1597,-61.75,-55.37,12.06,131.16,-11.73,-5.85,86,100,4.245,2869,2014-01-19 13:13:09:291
0.353,1.5298,8.7083,-61.19,-55.87,12.06,132.11,-8.45,-6.99,86,100,4.245,3091,2014-01-19 13:13:09:513
0.5296,2.383,8.8652,-71.62,-51.75,13.81,125.83,-17.03,-3.54,86,100,4.245,8,2014-01-19 13:13:06:430
1.0983,1.4514,12.5035,-69.69,-52,14.44,125.67,-10.38,-8.03,86,100,4.245,208,2014-01-19 13:13:06:630
1.0983,1.9221,6.7862,-68.31,-52.81,15.25,125.92,-10.78,-11.99,86,100,4.245,408,2014-01-19 13:13:06:830
0.9022,1.0983,12.984,-67.44,-53.25,15.06,127.12,-14.31,-8.38,86,100,4.245,609,2014-01-19 13:13:07:031
1.0101,1.471,10.395,-67.06,-53.44,14.25,128.82,-6.21,-4.68,86,100,4.245,816,2014-01-19 13:13:07:238
0.7845,2.4517,9.5713,-67.37,-52.87,12.63,127.68,-13.78,-7.47,86,100,4.245,1031,2014-01-19 13:13:07:453
