sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0294;2.079;9.4536;21.38;-49.69;12.81;202.09;-12.4;-0.18;89.6;50.0;3.668;58;2014-01-30 13:11:15:982
0.2844;2.0986;9.5321;22.44;-50.69;12.38;202.73;-13.27;-0.19;89.6;50.0;3.668;258;2014-01-30 13:11:16:182
-0.1961;2.2653;11.2776;23.5;-51.62;12.13;203.66;-11.56;-2.44;89.6;50.0;3.668;458;2014-01-30 13:11:16:382
-0.9414;2.2653;8.9437;24.88;-52.56;12.44;205.84;-13.15;5.57;89.6;50.0;3.668;660;2014-01-30 13:11:16:584
-0.0785;2.3536;8.522;25.44;-54.12;12.81;205.22;-14.5;4.42;89.6;50.0;3.668;863;2014-01-30 13:11:16:787
-0.4609;3.2754;10.552;25.5;-55.87;13.38;204.0;-15.44;0.53;89.6;50.0;3.668;1076;2014-01-30 13:11:17:000
0.2746;2.079;8.7868;25.31;-56.75;14.5;203.95;-15.98;2.14;89.6;50.0;3.668;1277;2014-01-30 13:11:17:201
0.2354;2.1378;7.963;25.69;-56.87;13.94;203.48;-15.02;-1.69;89.6;50.0;3.668;1477;2014-01-30 13:11:17:401
0.5296;2.9812;11.8464;26.69;-56.0;13.06;204.81;-15.72;-1.54;89.6;50.0;3.668;1677;2014-01-30 13:11:17:601
0.2452;1.3337;8.826;27.5;-55.62;12.69;205.36;-14.11;-2.56;89.6;50.0;3.668;1877;2014-01-30 13:11:17:801
0.2452;2.3144;9.1202;28.31;-55.81;12.0;205.77;-8.59;-1.59;89.6;50.0;3.668;2077;2014-01-30 13:11:18:001
-0.1863;3.2362;10.6304;29.75;-57.62;11.94;206.15;-14.23;-1.54;89.6;50.0;3.668;2287;2014-01-30 13:11:18:211
0.0196;2.7459;10.7873;29.75;-59.12;12.88;207.18;-16.93;1.0;89.6;50.0;3.668;2487;2014-01-30 13:11:18:411
0.0686;1.726;8.8456;30.31;-60.19;13.13;206.03;-14.28;-0.1;89.6;50.0;3.668;2688;2014-01-30 13:11:18:612
0.3432;1.8633;10.7873;31.0;-60.62;13.38;206.07;-9.79;-1.82;89.6;50.0;3.668;2888;2014-01-30 13:11:18:812
-0.1961;2.0594;11.4934;31.25;-61.31;13.38;206.07;-9.79;-1.82;89.6;50.0;3.668;3109;2014-01-30 13:11:19:033
0.1079;1.7554;10.0224;31.69;-64.56;14.19;206.59;-10.16;0.98;89.6;50.0;3.668;3310;2014-01-30 13:11:19:234
-0.1863;1.6573;7.6492;32.31;-66.37;15.0;205.26;-9.93;-0.62;89.6;50.0;3.668;3513;2014-01-30 13:11:19:437
0.0392;3.3735;11.1404;32.25;-67.56;15.13;204.97;-12.22;1.4;89.6;50.0;3.668;3724;2014-01-30 13:11:19:648
0.2746;1.8044;9.787;32.31;-70.37;17.69;203.54;-10.44;-1.61;89.6;50.0;3.668;3936;2014-01-30 13:11:19:860
0.4315;1.8633;9.1104;32.5;-70.87;17.81;203.61;-11.55;-2.71;89.6;50.0;3.668;4158;2014-01-30 13:11:20:082
0.1373;2.3536;11.5424;32.81;-71.19;18.56;204.05;-11.52;-0.68;89.6;50.0;3.668;4362;2014-01-30 13:11:20:286
