ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.1275,2.7459,7.8061,-61.25,-48.87,11,129.64,-18.57,1.16,86,100,4.245,10,2014-01-19 13:12:48:990
0.353,2.8145,12.3564,-60.56,-50,11.44,129.86,-11.85,-0.71,86,100,4.245,220,2014-01-19 13:12:49:200
0.0981,2.1869,8.0611,-59.37,-51.12,11.81,130.72,-11.1,-1.95,86,100,4.245,420,2014-01-19 13:12:49:400
0.1079,2.5105,11.2188,-59.06,-51,11.94,131.42,-15.18,-0.7,86,100,4.245,621,2014-01-19 13:12:49:601
0.5394,2.432,8.1591,-58.56,-51.75,11.75,131.18,-7.84,-1.79,86,100,4.245,821,2014-01-19 13:12:49:801
0.5688,2.8439,8.1493,-59.19,-53.19,12.5,130.72,-21.42,-5.7,86,100,4.245,1021,2014-01-19 13:12:50:001
0.3628,2.4419,11.2188,-59.69,-54.06,11.38,132.49,-17.03,-2.3,86,100,4.245,1230,2014-01-19 13:12:50:210
0.0883,2.0104,7.5315,-60.19,-54.44,11.19,132.11,-10.93,-2.49,86,100,4.245,1442,2014-01-19 13:12:50:422
0.1275,2.6282,10.042,-61.12,-54.81,10.63,131.47,-21.33,-2.47,86,100,4.245,1642,2014-01-19 13:12:50:622
0.3334,2.432,11.0619,-62.62,-54.56,9.31,131.3,-14.67,-0.73,86,100,4.245,1844,2014-01-19 13:12:50:824
0.3923,2.432,7.6492,-63.62,-54.75,9.88,131.23,-12.39,-1.73,86,100,4.245,2045,2014-01-19 13:12:51:025
0.3825,3.0008,9.9636,-65.12,-55.62,10,130.49,-16.75,-2.2,86,100,4.245,2258,2014-01-19 13:12:51:238
0.5884,2.4713,12.6702,-65.75,-55.87,9.75,130.43,-5.74,-1.98,86,100,4.245,2459,2014-01-19 13:12:51:439
0.3628,2.4026,6.4332,-66.81,-55.37,9.31,128.46,-17.92,-4.17,86,100,4.245,2659,2014-01-19 13:12:51:639
0.5982,2.6674,10.8462,-68.06,-54.37,8.75,128.13,-13.8,-3.16,86,100,4.245,2865,2014-01-19 13:12:51:845
0.9022,3.3343,10.2381,-68.75,-54.75,8.94,127.59,-13.67,-6.37,86,100,4.245,3065,2014-01-19 13:12:52:045
0.4805,1.8044,7.355,-69.44,-56.44,9.13,127.22,-21.66,-5.68,86,100,4.245,3272,2014-01-19 13:12:52:252
0.6865,2.0398,11.6503,-69.87,-58.37,9,128.48,-18.14,-2.75,86,100,4.245,3475,2014-01-19 13:12:52:455
-0.5099,2.2359,8.0022,-70.37,-59.94,8.81,129.4,-17.05,-3.36,86,100,4.245,3679,2014-01-19 13:12:52:659
-0.1275,2.7459,7.8061,-61.25,-48.87,11,129.64,-18.57,1.16,86,100,4.245,10,2014-01-19 13:12:48:990
0.353,2.8145,12.3564,-60.56,-50,11.44,129.86,-11.85,-0.71,86,100,4.245,220,2014-01-19 13:12:49:200
