ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1961,3.4421,7.6884,39.63,-54.94,-12.37,220.99,-22.83,0.22,93.2,60,3.838,3,2014-01-15 13:59:27:217
-0.0785,3.6579,10.7873,34.94,-53.56,-9.81,219.98,-23.64,0.2,93.2,60,3.838,214,2014-01-15 13:59:27:428
-0.2844,2.9028,9.9636,32.81,-54.69,-7.25,214.82,-17.3,0.1,93.2,60,3.838,419,2014-01-15 13:59:27:633
-0.6669,2.6478,8.9044,31,-56.31,-4.94,212.1,-19.07,3.65,93.2,60,3.838,620,2014-01-15 13:59:27:834
-0.0785,4.0109,11.0031,30.63,-57.75,-2.25,210.62,-19.38,1.4,93.2,60,3.838,830,2014-01-15 13:59:28:044
-0.0098,2.8439,7.7669,30.44,-58,-0.62,209.52,-18.09,0.52,93.2,60,3.838,1031,2014-01-15 13:59:28:245
-0.1471,3.1087,11.9249,30.25,-58.25,0.19,208.53,-17.49,0.92,93.2,60,3.838,1231,2014-01-15 13:59:28:445
0.0883,1.9613,11.3365,30.06,-59.81,2.25,208.75,-24.76,-0.89,93.2,60,3.838,1431,2014-01-15 13:59:28:645
-0.5099,1.6475,7.2961,29.38,-60.25,2.63,207.78,-17.85,4.95,93.2,60,3.838,1631,2014-01-15 13:59:28:845
-0.3923,2.5301,12.5917,29.69,-59.69,3.13,206.33,-12.77,3.01,93.2,60,3.838,1832,2014-01-15 13:59:29:046
0.353,2.5301,8.3945,29.44,-59.06,3.13,206.42,-15.24,-2.54,93.2,60,3.838,2033,2014-01-15 13:59:29:247
-0.1373,2.3634,9.4144,29.56,-58.87,3.5,207.59,-15.41,2.1,93.2,60,3.838,2233,2014-01-15 13:59:29:447
0.3334,2.3928,11.209,29,-61.69,5.56,206.04,-16.84,-1.41,93.2,60,3.838,2434,2014-01-15 13:59:29:648
-0.1667,2.6772,6.9431,28.38,-63.75,6.5,204.72,-13.37,-0.92,93.2,60,3.838,2638,2014-01-15 13:59:29:852
-0.1569,3.5696,11.8072,29.13,-64.25,6.44,204.97,-17.61,1.47,93.2,60,3.838,2839,2014-01-15 13:59:30:053
0.3138,3.4127,8.5514,29.19,-63.12,6.31,204.79,-17.05,0.43,93.2,60,3.838,3056,2014-01-15 13:59:30:270
0.0098,3.0401,8.4926,30.25,-60.62,5.25,206.16,-20.45,-2.15,93.2,60,3.838,3260,2014-01-15 13:59:30:474
-0.2452,4.0796,12.121,30.69,-58.56,4.38,208.53,-20.56,-0.06,93.2,60,3.838,3476,2014-01-15 13:59:30:690
0.1961,3.4421,7.6884,39.63,-54.94,-12.37,220.99,-22.83,0.22,93.2,60,3.838,3,2014-01-15 13:59:27:217
-0.0785,3.6579,10.7873,34.94,-53.56,-9.81,219.98,-23.64,0.2,93.2,60,3.838,214,2014-01-15 13:59:27:428
