sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.814;1.0983;11.7386;-67.87;-42.37;-2.5;121.38;-14.49;4.33;87.8;80.0;4.036;35;2014-01-14 22:35:24:843
-0.0392;1.7162;8.2376;-67.75;-40.25;-2.62;120.44;-5.33;3.97;87.8;80.0;4.036;236;2014-01-14 22:35:25:044
0.0196;2.2653;10.395;-68.75;-40.37;-2.06;119.92;-10.32;0.73;87.8;80.0;4.036;436;2014-01-14 22:35:25:244
-0.9022;1.1768;11.4346;-70.06;-41.19;-1.0;119.86;-12.29;-0.11;87.8;80.0;4.036;636;2014-01-14 22:35:25:444
-0.814;1.5691;8.7868;-71.25;-42.25;-0.37;120.81;-5.86;4.51;87.8;80.0;4.036;838;2014-01-14 22:35:25:646
-0.814;2.5595;9.9243;-71.69;-42.5;-0.12;120.67;-10.08;5.29;87.8;80.0;4.036;1049;2014-01-14 22:35:25:857
-0.814;1.5691;12.2289;-72.81;-42.75;-1.31;120.61;-7.3;3.81;87.8;80.0;4.036;1263;2014-01-14 22:35:26:071
-0.4707;1.52;7.963;-73.25;-44.0;-1.87;120.9;-9.51;2.97;87.8;80.0;4.036;1479;2014-01-14 22:35:26:287
-0.2157;2.6282;9.5713;-74.37;-45.81;-2.06;120.93;-18.07;3.07;87.8;80.0;4.036;1679;2014-01-14 22:35:26:487
-0.1569;2.2751;11.5718;-74.94;-47.81;-2.0;122.04;-10.87;0.76;87.8;80.0;4.036;1882;2014-01-14 22:35:26:690
-1.0297;1.3043;8.9829;-75.19;-50.06;-2.31;123.99;-7.25;6.38;87.8;80.0;4.036;2092;2014-01-14 22:35:26:900
-0.5786;1.9711;8.7083;-75.69;-50.19;-3.06;123.09;-12.07;4.55;87.8;80.0;4.036;2298;2014-01-14 22:35:27:106
-0.6276;2.2948;11.4934;-75.94;-49.75;-4.5;122.81;-11.27;3.13;87.8;80.0;4.036;2499;2014-01-14 22:35:27:307
0.1961;1.4906;10.5127;-76.56;-49.37;-5.81;121.7;-8.07;-1.07;87.8;80.0;4.036;2699;2014-01-14 22:35:27:507
0.1961;2.1967;7.61;-77.5;-50.06;-6.44;120.82;-16.1;-1.48;87.8;80.0;4.036;2911;2014-01-14 22:35:27:719
-0.0392;2.432;11.0619;-78.19;-51.94;-7.81;122.2;-12.4;0.2;87.8;80.0;4.036;3119;2014-01-14 22:35:27:927
-0.9414;1.471;11.1404;-78.69;-54.56;-9.44;124.35;-6.52;4.37;87.8;80.0;4.036;3320;2014-01-14 22:35:28:128
-0.7159;2.2359;7.6884;-79.62;-56.44;-11.25;124.05;-10.72;6.0;87.8;80.0;4.036;3520;2014-01-14 22:35:28:328
-0.7159;2.8635;10.552;-80.12;-56.69;-13.94;122.73;-17.77;4.6;87.8;80.0;4.036;3721;2014-01-14 22:35:28:529
0.0785;2.1575;10.1205;-81.0;-55.69;-15.87;123.01;-10.2;3.42;87.8;80.0;4.036;3922;2014-01-14 22:35:28:730
0.1275;1.9613;7.9238;-81.56;-54.62;-16.94;121.07;-13.44;-0.92;87.8;80.0;4.036;4127;2014-01-14 22:35:28:935
