sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.3138;0.8532;9.8459;46.94;4.38;9.75;273.72;-6.43;2.5;87.8;80.0;4.059;3;2014-02-02 12:54:44:135
-0.3628;1.4318;10.8462;45.94;1.88;11.06;270.88;-8.26;2.74;87.8;80.0;4.059;203;2014-02-02 12:54:44:335
-0.4217;1.5985;8.777;45.19;1.19;12.25;269.52;-7.52;1.92;87.8;80.0;4.059;405;2014-02-02 12:54:44:537
-0.4217;1.5985;9.9243;44.88;1.94;13.06;270.04;-10.31;2.75;87.8;80.0;4.059;605;2014-02-02 12:54:44:737
-0.5786;1.7162;11.1992;44.31;4.06;13.31;272.07;-6.92;2.42;87.8;80.0;4.059;806;2014-02-02 12:54:44:938
-0.0588;1.3729;8.5122;43.81;4.31;13.69;272.47;-8.66;-0.96;87.8;80.0;4.059;1007;2014-02-02 12:54:45:139
-0.353;2.3046;10.8265;43.44;4.13;13.81;270.3;-16.8;2.03;87.8;80.0;4.059;1207;2014-02-02 12:54:45:339
0.2059;1.7652;9.8851;42.75;3.31;14.38;270.49;-10.79;0.31;87.8;80.0;4.059;1407;2014-02-02 12:54:45:539
0.1569;1.6966;8.8064;41.5;2.63;15.31;270.08;-10.6;-0.99;87.8;80.0;4.059;1608;2014-02-02 12:54:45:740
-0.8238;1.9025;11.9249;39.94;2.25;15.94;268.27;-10.9;-1.02;87.8;80.0;4.059;1810;2014-02-02 12:54:45:942
-0.6669;1.2553;9.4928;38.75;1.69;16.19;269.84;-9.04;3.95;87.8;80.0;4.059;2010;2014-02-02 12:54:46:142
-0.6865;1.4318;9.4928;37.19;1.0;16.75;268.68;-7.52;3.78;87.8;80.0;4.059;2211;2014-02-02 12:54:46:343
0.0098;1.6966;10.3558;36.56;0.5;16.63;267.84;-9.76;4.14;87.8;80.0;4.059;2411;2014-02-02 12:54:46:543
0.2354;1.6966;10.2479;35.25;-1.12;17.5;263.78;-9.34;-1.31;87.8;80.0;4.059;2611;2014-02-02 12:54:46:743
-0.0981;1.7554;8.7573;34.88;-0.87;18.0;262.91;-10.93;0.26;87.8;80.0;4.059;2820;2014-02-02 12:54:46:952
-0.1765;1.8829;11.3953;34.63;0.0;18.38;264.39;-11.33;0.64;87.8;80.0;4.059;3034;2014-02-02 12:54:47:166
-0.2157;0.9414;9.6105;34.56;0.19;18.88;265.13;-9.38;0.89;87.8;80.0;4.059;3239;2014-02-02 12:54:47:371
-0.8532;1.7848;8.9633;34.13;-0.44;19.69;266.88;-5.59;1.29;87.8;80.0;4.059;3462;2014-02-02 12:54:47:594
0.4707;1.7064;11.0227;33.75;-3.75;20.69;257.42;-8.79;-2.45;87.8;80.0;4.059;3666;2014-02-02 12:54:47:798
-0.0196;1.6475;9.8459;34.38;-5.06;21.69;255.9;-9.5;0.11;87.8;80.0;4.059;3880;2014-02-02 12:54:48:012
-0.0196;1.4318;9.5713;35.13;-5.56;22.25;254.1;-10.76;0.13;87.8;80.0;4.059;4092;2014-02-02 12:54:48:224
-0.3825;1.2651;12.121;35.75;-6.06;22.63;256.91;-6.28;0.68;87.8;80.0;4.059;4302;2014-02-02 12:54:48:434
-0.4413;1.4318;8.4729;36.25;-7.0;23.31;254.79;-8.46;2.63;87.8;80.0;4.059;4538;2014-02-02 12:54:48:670
-0.7061;1.3729;8.6887;36.06;-9.31;24.0;252.18;-8.95;4.65;87.8;80.0;4.059;4739;2014-02-02 12:54:48:871
-0.7061;2.1084;8.9927;34.63;-13.37;24.94;246.26;-11.96;4.92;87.8;80.0;4.059;4940;2014-02-02 12:54:49:072
-0.2157;1.0983;10.7873;33.5;-16.06;24.19;241.9;-9.44;2.29;87.8;80.0;4.059;5141;2014-02-02 12:54:49:273
-0.2157;1.3533;9.8655;30.88;-18.25;23.88;239.19;-6.13;1.25;87.8;80.0;4.059;5341;2014-02-02 12:54:49:473
-0.1667;1.6475;9.4144;27.25;-20.87;23.06;232.56;-9.72;1.04;87.8;80.0;4.059;5547;2014-02-02 12:54:49:679
-0.1667;2.383;9.9636;21.81;-24.06;22.75;223.52;-13.72;0.96;87.8;80.0;4.059;5751;2014-02-02 12:54:49:883
