sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.0196;2.3536;10.395;17.81;-54.56;9.0;197.74;-11.57;-1.03;87.8;50.0;3.78;129;2014-01-18 21:27:24:686
-0.0392;1.8044;9.5321;19.06;-55.37;8.31;198.89;-11.85;-0.12;87.8;50.0;3.78;344;2014-01-18 21:27:24:901
-0.5394;2.6282;8.9142;19.75;-56.06;7.81;199.67;-11.03;1.21;87.8;50.0;3.78;564;2014-01-18 21:27:25:121
-0.5394;2.6968;10.7089;20.5;-56.06;7.75;200.17;-16.45;3.38;87.8;50.0;3.78;765;2014-01-18 21:27:25:322
0.1961;1.8927;8.9044;20.5;-55.56;7.88;200.7;-10.1;2.35;87.8;50.0;3.78;969;2014-01-18 21:27:25:526
0.0883;1.824;9.1888;20.81;-55.0;7.69;200.7;-11.7;-0.25;87.8;50.0;3.78;1171;2014-01-18 21:27:25:728
0.0098;1.824;10.9834;21.06;-54.81;7.81;200.7;-10.1;-0.05;87.8;50.0;3.78;1372;2014-01-18 21:27:25:929
-0.4217;1.6573;10.1597;22.19;-56.06;8.38;201.94;-9.48;2.47;87.8;50.0;3.78;1572;2014-01-18 21:27:26:129
-0.4609;1.3533;9.0908;22.44;-56.75;8.44;201.26;-8.05;2.6;87.8;50.0;3.78;1773;2014-01-18 21:27:26:330
-0.6374;1.7652;10.6696;23.69;-58.75;9.13;201.83;-9.6;2.9;87.8;50.0;3.78;1974;2014-01-18 21:27:26:531
-0.1961;1.8142;9.6105;23.75;-59.75;9.38;201.34;-9.65;1.74;87.8;50.0;3.78;2176;2014-01-18 21:27:26:733
-0.1275;1.7358;7.8061;24.25;-59.62;9.81;201.79;-12.91;0.96;87.8;50.0;3.78;2377;2014-01-18 21:27:26:934
-0.255;1.7064;11.16;25.06;-60.06;10.5;202.38;-9.3;0.26;87.8;50.0;3.78;2581;2014-01-18 21:27:27:138
-0.0785;1.2356;9.1006;25.38;-61.5;11.06;201.99;-8.28;0.06;87.8;50.0;3.78;2782;2014-01-18 21:27:27:339
-0.3236;1.2356;8.8652;26.25;-63.37;11.5;202.4;-7.7;1.6;87.8;50.0;3.78;2982;2014-01-18 21:27:27:539
-0.6767;2.4517;11.3757;27.44;-64.69;12.06;203.27;-10.56;4.36;87.8;50.0;3.78;3182;2014-01-18 21:27:27:739
-0.3432;1.5298;10.3166;28.75;-64.94;13.25;203.54;-12.14;3.4;87.8;50.0;3.78;3383;2014-01-18 21:27:27:940
-0.3334;1.6377;8.3945;30.25;-63.19;14.13;205.05;-9.38;2.12;87.8;50.0;3.78;3583;2014-01-18 21:27:28:140
-0.1863;2.079;11.2188;31.81;-61.31;15.38;206.29;-11.46;1.6;87.8;50.0;3.78;3783;2014-01-18 21:27:28:340
0.0;2.0986;9.9243;32.69;-60.25;16.06;207.9;-10.79;0.95;87.8;50.0;3.78;3984;2014-01-18 21:27:28:541
-0.3628;1.4514;9.4144;32.94;-59.87;16.0;208.24;-8.33;0.41;87.8;50.0;3.78;4186;2014-01-18 21:27:28:743
