ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0785,2.6086,9.2379,59.56,0.56,-14.25,274.38,-15.67,-0.48,89.6,40,3.744,14,2014-02-01 14:08:54:533
0.0785,2.334,11.3365,58.44,-1.12,-11.94,271.34,-11.63,-0.4,89.6,40,3.744,215,2014-02-01 14:08:54:734
0.353,1.7652,9.8851,56.44,-2.5,-9.37,269.25,-10.12,-2.05,89.6,40,3.744,416,2014-02-01 14:08:54:935
0.1177,2.1771,9.2575,54.44,-3.44,-6.94,268.33,-13.06,-1.1,89.6,40,3.744,616,2014-02-01 14:08:55:135
0.2059,2.1182,11.4149,52.56,-5.75,-2.75,264.28,-11.07,0.05,89.6,40,3.744,816,2014-02-01 14:08:55:335
0.2157,2.0398,8.2768,51.19,-8.81,1,259.93,-13.59,-0.34,89.6,40,3.744,1016,2014-02-01 14:08:55:535
0.1863,2.0986,11.6111,50.56,-11.44,3.75,256.84,-11.78,-1.68,89.6,40,3.744,1220,2014-02-01 14:08:55:739
-0.6276,2.4222,11.2973,50.5,-11.81,6.06,256.4,-12.08,3.18,89.6,40,3.744,1421,2014-02-01 14:08:55:940
0.2746,2.3634,8.1591,50.69,-10.37,7.31,256.66,-16.15,-1.93,89.6,40,3.744,1621,2014-02-01 14:08:56:140
0.2648,2.3438,12.1995,50.81,-9.69,7.5,257.02,-12.51,-1.14,89.6,40,3.744,1822,2014-02-01 14:08:56:341
0.0981,2.432,9.179,50.19,-10.25,8.75,256.68,-12.11,-0.79,89.6,40,3.744,2022,2014-02-01 14:08:56:541
0.1275,2.432,8.3553,49.13,-12.69,9.69,252.29,-18.43,-0.46,89.6,40,3.744,2222,2014-02-01 14:08:56:741
-0.304,2.2457,11.1404,48.19,-14.81,9.88,250.97,-11.2,0.44,89.6,40,3.744,2434,2014-02-01 14:08:56:953
0.3138,2.2457,7.7669,47.5,-15.5,10.5,250.94,-13.46,2.22,89.6,40,3.744,2644,2014-02-01 14:08:57:163
0.4119,2.6086,10.042,47.63,-17.19,9.44,248.54,-15.66,-2.54,89.6,40,3.744,2854,2014-02-01 14:08:57:373
-0.3727,3.1577,9.8067,47.13,-19.12,9.31,247.44,-12.39,-1.73,89.6,40,3.744,3056,2014-02-01 14:08:57:575
-0.2942,2.7066,6.5901,47,-20.12,9.31,245.96,-19.89,2.65,89.6,40,3.744,3256,2014-02-01 14:08:57:775
-0.2256,2.7066,12.1995,47,-21.5,8.5,244.66,-15.08,1.29,89.6,40,3.744,3456,2014-02-01 14:08:57:975
0.0785,2.4517,8.7868,46.81,-21.56,8,243.9,-12.58,0.77,89.6,40,3.744,3656,2014-02-01 14:08:58:175
0.0785,2.6086,9.2379,59.56,0.56,-14.25,274.38,-15.67,-0.48,89.6,40,3.744,14,2014-02-01 14:08:54:533
