ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),Temperature (F),Level (%),Voltage (Volt),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.7159,2.7066,9.6105,-46.06,25.5,10.13,62.74,-10.04,5.19,86,90,4.191,3,2014-02-01 22:22:03:421
-1.2749,1.9417,11.7876,-45.87,23,11.13,65.7,-9.37,4.64,86,90,4.191,203,2014-02-01 22:22:03:621
-0.9807,2.7459,7.2177,-44.69,20.88,10.69,68.16,-13.91,7.79,86,90,4.191,403,2014-02-01 22:22:03:821
-1.3043,0.9807,13.3763,-43.81,19.69,10.75,69,-14.68,6.27,86,90,4.191,606,2014-02-01 22:22:04:024
0.0196,1.8633,7.4531,-43.06,18,11.75,66.84,-4.17,5.57,86,90,4.191,812,2014-02-01 22:22:04:230
-1.0003,2.3634,10.4343,-43,15.5,13.13,72.45,-14.04,-0.15,86,90,4.191,1016,2014-02-01 22:22:04:434
0.1569,1.6475,9.689,-42.31,14.69,13.75,76.85,-12.71,5.48,86,90,4.191,1219,2014-02-01 22:22:04:637
-0.4511,2.6674,7.2373,-41.69,14.94,14.44,73.44,-9.65,-0.93,86,90,4.191,1419,2014-02-01 22:22:04:837
-0.4903,2.7066,11.9641,-40.25,16.31,14.63,73.12,-12.74,2.35,86,90,4.191,1646,2014-02-01 22:22:05:064
0.1961,2.0006,8.826,-39.37,17.5,15,69.85,-12.77,-1.27,86,90,4.191,1869,2014-02-01 22:22:05:287
-1.0885,2.2457,11.8072,-39.69,16.63,15,71.78,-12.33,4.71,86,90,4.191,2069,2014-02-01 22:22:05:487
-1.1278,2.3144,8.5514,-40.62,13.69,14,74.04,-11.88,5.88,86,90,4.191,2269,2014-02-01 22:22:05:687
-1.1082,2.3144,10.1205,-40.69,12.31,13.69,80.08,-14.59,7.32,86,90,4.191,2511,2014-02-01 22:22:05:929
-0.3138,2.0594,8.826,-39.19,8.81,12.44,80.75,-11.91,6,86,90,4.191,2711,2014-02-01 22:22:06:129
-0.7159,2.7066,9.6105,-46.06,25.5,10.13,62.74,-10.04,5.19,86,90,4.191,3,2014-02-01 22:22:03:421
-1.2749,1.9417,11.7876,-45.87,23,11.13,65.7,-9.37,4.64,86,90,4.191,203,2014-02-01 22:22:03:621
-0.9807,2.7459,7.2177,-44.69,20.88,10.69,68.16,-13.91,7.79,86,90,4.191,403,2014-02-01 22:22:03:821
-1.3043,0.9807,13.3763,-43.81,19.69,10.75,69,-14.68,6.27,86,90,4.191,606,2014-02-01 22:22:04:024
0.0196,1.8633,7.4531,-43.06,18,11.75,66.84,-4.17,5.57,86,90,4.191,812,2014-02-01 22:22:04:230
-1.0003,2.3634,10.4343,-43,15.5,13.13,72.45,-14.04,-0.15,86,90,4.191,1016,2014-02-01 22:22:04:434
